name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,dock_score,nlrp3_dock_score,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,ro5_props_ok,oral_absorption_ok,mw_oral_ok,macro_scaffold_risk,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
VECABRUTINIB,CHEMBL4297640,2.0,NC(=O)[C@H]1CCN(c2ncnc(N)c2F)C[C@@H]1N1CCC[C@@H](Nc2cc(Cl)cc(C(F)(F)F)c2)C1=O,O=C1C(Nc2ccccc2)CCCN1C1CCCN(c2ccncn2)C1,529.9260000000003,96.0759493670886,98.95569620253164,91.36075949367088,98.95569620253164,1.0,-8.386,-7.902,False,False,0.5075186920017714,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,96.0759493670886,0.2280999768007082
ZELENIRSTAT,CHEMBL3357685,2.0,Cc1c(NS(=O)(=O)c2c(Cl)cc(-c3ccnc(N4CCNCC4)c3)cc2Cl)c(CC(C)C)nn1C,O=S(=O)(Nc1cn[nH]c1)c1ccc(-c2ccnc(N3CCNCC3)c2)cc1,537.5170000000003,98.29113924050633,95.126582278481,49.68354430379747,95.126582278481,0.9166667,-8.584,-7.477,False,False,0.4611650615256415,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,95.126582278481,0.20006977461025627
DEUCRICTIBANT,CHEMBL5095059,2.0,[2H][C@@](C)(NC(=O)COC(F)F)c1cc(F)cc(Cl)c1COc1cccc2c(-c3ncnn3C)cc(C)nc12,c1ccc(COc2cccc3c(-c4ncn[nH]4)ccnc23)cc1,534.9441017780002,91.0759493670886,92.53164556962024,49.68354430379747,92.53164556962024,0.9166667,-8.145,-7.355,False,False,0.3201430604211338,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,91.0759493670886,0.14687709694595324
PRALICIGUAT,CHEMBL4297214,2.0,OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F,c1ccc(Cn2nc(-c3ncccn3)cc2-c2ccon2)cc1,534.3670000000001,92.40506329113924,91.36075949367088,91.36075949367088,90.85443037974684,1.0,-8.189,-7.294,False,False,0.3347230408174785,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,90.85443037974684,0.1534304663269913
GSK-3008348 FREE BASE,CHEMBL4241824,1.0,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,c1cc(CCN2CCC(CCc3ccc4c(n3)NCCC4)C2)cc(-n2cccn2)c1,487.6480000000004,97.46835443037976,97.53164556962024,3.481012658227848,97.53164556962024,0.5725967,-8.468,-7.657,False,False,0.4530334697206116,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False,97.46835443037976,0.4091533878882442
MLN-0415,CHEMBL5314383,1.0,C[C@@H]1CN(C(=O)CN2CC(C)(C)OC[C@H]2C(=O)Nc2cc(Cl)cc3c2[nH]c2cnccc23)C[C@H](C)O1,O=C(Nc1cccc2c1[nH]c1cnccc12)C1COCCN1CC(=O)N1CCOCC1,514.0260000000002,94.11392405063292,91.36075949367088,91.36075949367088,91.10759493670886,1.0,-8.253,-7.302,False,False,0.5542645895945439,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,91.10759493670886,0.2666733358378174
BI 653048,CHEMBL3358954,1.0,CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(N)=O)C(F)(F)F)[nH]c2cn1,c1ccc(CCCCc2cc3ccncc3[nH]2)cc1,515.5290000000001,96.32911392405065,90.3481012658228,49.68354430379747,90.3481012658228,0.9166667,-8.401,-7.275,False,False,0.393646603004665,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,90.3481012658228,0.20054739120186588
ATUMELNANT,CHEMBL5414447,2.0,CCOc1ccccc1-c1ccc(N2CCN(C(=O)C3(C(F)(F)F)CCC3)C[C@H]2CC)c(C(=O)N[C@@H]2CN3CCC2CC3)n1,O=C(NC1CN2CCC1CC2)c1nc(-c2ccccc2)ccc1N1CCN(C(=O)C2CCC2)CC1,613.7249999999998,98.22784810126582,94.49367088607596,49.68354430379747,94.49367088607596,0.9166667,-8.578,-7.452,False,False,0.4450806337705848,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,94.49367088607596,0.17803225350823393
MIOFLAZINE,CHEMBL2110980,2.0,NC(=O)C1CN(CC(=O)Nc2c(Cl)cccc2Cl)CCN1CCCC(c1ccc(F)cc1)c1ccc(F)cc1,O=C(CN1CCN(CCCC(c2ccccc2)c2ccccc2)CC1)Nc1ccccc1,575.4870000000004,93.48101265822784,97.46835443037976,23.734177215189877,97.46835443037976,0.9166666,-8.223,-7.647,False,False,0.3444614065890783,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,93.48101265822784,0.13778456263563132
DEPULFAVIRINE,CHEMBL4438269,2.0,N#Cc1cc(Cl)cc(Oc2c(Br)ccc(CC(=O)Nc3ccc(S(N)(=O)=O)cc3Cl)c2F)c1,O=C(Cc1cccc(Oc2ccccc2)c1)Nc1ccccc1,573.2270000000003,96.9620253164557,93.16455696202532,91.36075949367088,93.16455696202532,1.0,-8.435,-7.403,False,False,0.409935111960363,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,93.16455696202532,0.1639740447841452
