pair,cutoff_year,split,year_definition,n_dual,n_A_only,n_B_only,n_neither,n_undated_panel_scored,auroc_reportable,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,note
F2/F10,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,27,28,30,11,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
F2/F10,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,4,4,2,1,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
F2/F10,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,27,28,32,11,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
F2/F10,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,4,4,0,1,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
F2/F10,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,27,28,32,11,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
F2/F10,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,4,4,0,1,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
JAK1/TYK2,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,4,1,3,1,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
JAK1/TYK2,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,27,31,29,13,0,1,0.5896,0.3333,0.3333,0.1977,0.4864,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
JAK1/TYK2,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,15,11,5,9,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
JAK1/TYK2,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,16,21,27,5,0,1,0.622,0.3681,0.3681,0.2,0.5452,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
JAK1/TYK2,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,22,16,12,12,0,0,,,,,,TIME_SPLIT_PROTOCOL_FREEZE: earliest document.year; test AUROC only if dual/A/B each n≥10; do not shop cutoffs; train is counts only
