MD_JNK1偏好秩,库内ID,组,md_jnk1_bias_score,MD_JNK1偏好解读,hinge_JNK1,hinge_JNK2,hinge_JNK3,RMSD_JNK1,RMSD_JNK2,RMSD_JNK3,pass_md_JNK1,pass_md_overall,pose_grade,delta_sel_dock,score_JNK1,Tier,HIT_ID,品牌,目录价_元,国际运费_元,小计_元,进入10人湿实验单
1,2231,G2,1.946,MD最强JNK1偏好: hinge J1=0.91/J2≈0; J1 RMSD最低,0.91,0.0,0.1,0.48,1.17,0.66,是,否,C,3.373,-11.22,3,HIT100544184,Chembridge,832,,832,是
2,2157,G1,1.03,hinge J1≫J3(0.85/0.02); 三亚型RMSD可接受,0.85,0.46,0.02,0.49,1.13,0.35,是,是,A,-1.05,-8.46,3,HIT101201113,Enamine,850,1210,2060,是
3,690,G1,0.97,三isoform hinge均高→pan-JNK模式; J2 RMSD最弱,1.0,0.51,0.77,0.72,1.98,0.61,是,是,A,1.077,-7.76,1,HIT103871685,Chembridge,588,,588,是
4,CC-90001,G3,0.555,酶学近pan; MD pass_overall,0.605,,,1.07,1.19,1.1,是,是,A,-0.247,-7.33,control_inbatch,—,文献品/不适用,,,,是
5,2747,G2,0.497,RMSD三亚型不对称最强(J3=1.99Å); hinge J1仅0.21,0.21,,,0.41,1.19,1.99,否,否,F,-0.964,-8.03,3,HIT101665792,Enamine,1373,,1373,否
6,2232,G1,0.234,hinge J1=JNK2=1.00→最不像JNK1选择性,1.0,1.0,0.04,0.57,0.29,1.31,是,是,A,1.325,-8.13,1,HIT101415193,Chembridge,665,1300,1965,是
7,2389,G1,-0.027,MD fail: hinge J1=28.2%(<30%门槛),0.282,,,,,,否,否,F,-0.232,-7.59,3,HIT100053425,Chembridge,688,,688,否
8,SP600125,G3,-0.76,pan-JNK对照; 低hinge亦可有活性,0.15,0.11,0.54,0.12,0.16,0.17,否,否,F,-1.53,-9.48,control_inbatch,—,文献品/不适用,,,,是
9,E1,G3,-0.822,文献JNK1强抑制; MD hinge反而J2>J1,0.4,0.95,0.12,1.25,1.31,1.82,是,是,B,3.463,-10.0,control_inbatch,—,文献品/不适用,,,,是
10,4795,G2,-0.892,hinge偏JNK3; JNK1 MD fail,0.04,0.04,0.49,0.82,1.23,0.43,否,否,F,1.571,-8.38,1,HIT103911081,Chembridge,832,,832,是
11,1280,G2,-1.664,hinge J1≈0; off-target pose备份,0.0,0.58,0.43,1.91,1.0,1.56,否,否,F,0.892,-7.85,3,HIT100636586,Enamine,850,,850,是
12,CC-930,G3,-1.74,文献JNK2/3偏好; hinge J3=0.95,0.0,0.4,0.95,0.56,1.1,0.42,否,否,F,-5.313,-7.53,control_inbatch,—,文献品/不适用,,,,是
13,1555,G2,-2.0,G2 MD overall fail; 三亚型指标待归档,,,,,,,否,否,F,0.497,-8.15,2,HIT103534865,Chembridge,832,,832,否
14,1762,G2,-2.0,G2 MD overall fail; 三亚型指标待归档,,,,,,,否,否,F,0.287,-8.77,3,HIT105741044,Enamine,660,,660,否
15,3237,G4,-5.0,G4阴性锚点,,,,,,,否,否,F,-1.007,5.46,0,—,文献品/不适用,,,,否
16,3411,G4,-5.0,G4阴性锚点,,,,,,,否,否,F,-1.965,7.16,0,—,文献品/不适用,,,,否
