group,compound_id,rank_within_group,sort_key_score_JNK1,sort_key_MMGBSA_JNK1,chemotype_sim,entered_md,purchased,notes,data_source
G1,690,1,-7.76,-56.5,0.233,true,true,MD pass_overall grade=A,purchase_after_md.csv;md_shortlist_final.csv
G1,2232,2,-8.13,-58.5,0.230,true,true,MD pass_overall grade=A,purchase_after_md.csv;md_shortlist_final.csv
G1,2157,3,-8.46,-52.7,0.225,true,true,MD pass_overall grade=A,purchase_after_md.csv;md_shortlist_final.csv
G1,2389,4,-7.59,-52.3,0.263,true,false,MD fail hinge 28.2%; v1.0 report §6.4,md_shortlist_final.csv
G1,TBD_5,,,,,false,false,G1 shortlist 落选5人之一; 完整9人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G1,TBD_6,,,,,false,false,G1 shortlist 落选5人之一; 完整9人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G1,TBD_7,,,,,false,false,G1 shortlist 落选5人之一; 完整9人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G1,TBD_8,,,,,false,false,G1 shortlist 落选5人之一; 完整9人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G1,TBD_9,,,,,false,false,G1 shortlist 落选5人之一; 完整9人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G2,2231,1,-11.22,-54.5,0.218,true,true,G2 内 score_JNK1 最强; grade C,md_shortlist_final.csv;purchase_after_md.csv
G2,1280,2,-7.85,-52.0,0.110,true,true,off-target pose backup,md_shortlist_final.csv;purchase_after_md.csv
G2,4795,3,-8.38,-60.1,0.091,true,true,off-target pose backup,md_shortlist_final.csv;purchase_after_md.csv
G2,2747,4,-8.03,-55.2,0.096,true,false,RMSD 不对称性最强; 未采购,md_shortlist_final.csv;§6.4.2
G2,1762,5,-8.77,-55.1,0.113,true,false,G2 新骨架; Tier3; 有报价未进湿实验单,md_shortlist_final.csv
G2,1555,6,-8.15,-58.2,0.096,true,false,G2 新骨架; Tier2; 有报价未进湿实验单,md_shortlist_final.csv
G2,TBD_7,,,,,false,false,G2 shortlist 落选4人之一; 完整10人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G2,TBD_8,,,,,false,false,G2 shortlist 落选4人之一; 完整10人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G2,TBD_9,,,,,false,false,G2 shortlist 落选4人之一; 完整10人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G2,TBD_10,,,,,false,false,G2 shortlist 落选4人之一; 完整10人名单待candidates_ranked_befe.csv归档,md_shortlist_report_23c8.md
G3,SP600125,,,-9.48,-47.4,0.104,true,true,G3 对照; ADMET 豁免,purchase_after_md.csv;md_shortlist_final.csv
G3,CC-90001,,,-7.33,-50.7,0.329,true,true,G3 对照,purchase_after_md.csv;md_shortlist_final.csv
G3,CC-930,,,-7.53,-53.4,0.133,true,true,G3 对照,purchase_after_md.csv;md_shortlist_final.csv
G3,E1,,,-10.0,-63.4,1.000,true,true,G3 对照,purchase_after_md.csv;md_shortlist_final.csv
G4,3237,,,5.46,-40.5,0.163,true,false,阴性锚点,md_shortlist_final.csv;v1.0 report §5.1
G4,3411,,,7.16,-43.6,0.135,true,false,阴性锚点,md_shortlist_final.csv;v1.0 report §5.1
