target_A_chembl,target_B_chembl,uniprot_A,uniprot_B,gene_A,gene_B,pref_A,pref_B,class_A,class_B,n_A,n_B,n_both_measured,theta_dual,theta_A_only,theta_B_only,theta_neither,strict_dual,strict_A_only,strict_B_only,strict_neither,strict_gray,min_strict_hardneg,directional_n10,formulation_n10,supports_strict_panel,supports_thin_panel,metal_either,metal_both,same_class,supply_bucket
CHEMBL3577,CHEMBL5514,P00352,P42858,ALDH1A1,HTT,Aldehyde dehydrogenase 1A1,Huntingtin,Oxidoreductase,Unclassified protein,75664,18767,8336,7,274,544,7511,0,111,98,6716,1411,98,0,0,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3267,CHEMBL3145,P48736,P42338,PIK3CG,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Transferase,Transferase,3914,2786,1912,807,402,246,457,460,113,96,155,1088,96,1,1,1,1,0,0,1,same_protein_class
CHEMBL2835,CHEMBL3553,P23458,P29597,JAK1,TYK2,Tyrosine-protein kinase JAK1,Non-receptor tyrosine-protein kinase TYK2,Tyrosine protein kinase JakA family,Tyrosine protein kinase JakA family,10506,6175,3503,2808,293,314,88,2097,94,117,35,1160,94,1,1,1,1,0,0,1,same_protein_class
CHEMBL1865,CHEMBL325,Q9UBN7,Q13547,HDAC6,HDAC1,Protein deacetylase HDAC6,Histone deacetylase 1,HDAC class IIb,HDAC class I,6554,8348,3987,2231,1133,223,400,1490,494,93,190,1720,93,1,1,1,1,1,1,0,metal_enzyme
CHEMBL222,CHEMBL228,P23975,P31645,SLC6A2,SLC6A4,Sodium-dependent noradrenaline transporter,Sodium-dependent serotonin transporter,SLC06 neurotransmitter transporter family,SLC06 neurotransmitter transporter family,3740,5410,2920,1970,348,329,273,1444,93,96,90,1197,93,1,1,1,1,0,0,1,same_protein_class
CHEMBL1947,CHEMBL1293235,P10828,P02545,THRB,LMNA,Thyroid hormone receptor beta,Prelamin-A/C,Nuclear hormone receptor subfamily 1 group A member 2,Structural protein,5454,36154,852,49,130,149,524,27,92,105,450,178,92,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3577,CHEMBL5162,P00352,Q6W5P4,ALDH1A1,NPSR1,Aldehyde dehydrogenase 1A1,Neuropeptide S receptor,Oxidoreductase,Neuropeptide receptor,75664,15047,6864,9,219,289,6347,2,86,161,5904,711,86,0,0,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL4040,CHEMBL1293224,P28482,P10636,MAPK1,MAPT,Mitogen-activated protein kinase 1,Microtubule-associated protein tau,CMGC protein kinase ERK subfamily,Other cytosolic protein,18719,67208,5957,10,199,250,5498,1,116,85,4974,781,85,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL235,CHEMBL239,P37231,Q07869,PPARG,PPARA,Peroxisome proliferator-activated receptor gamma,Peroxisome proliferator-activated receptor alpha,Nuclear hormone receptor subfamily 1 group C member 3,Nuclear hormone receptor subfamily 1 group C member 1,4337,2836,2058,802,322,413,521,445,85,102,276,1150,85,1,1,1,1,0,0,0,cross_class
CHEMBL239,CHEMBL3979,Q07869,Q03181,PPARA,PPARD,Peroxisome proliferator-activated receptor alpha,Peroxisome proliferator-activated receptor delta,Nuclear hormone receptor subfamily 1 group C member 1,Nuclear hormone receptor subfamily 1 group C member 2,2836,1865,1226,494,236,286,210,276,84,110,95,661,84,1,1,1,1,0,0,0,cross_class
CHEMBL4040,CHEMBL1293235,P28482,P02545,MAPK1,LMNA,Mitogen-activated protein kinase 1,Prelamin-A/C,CMGC protein kinase ERK subfamily,Structural protein,18719,36154,3513,28,149,314,3022,11,80,190,2791,441,80,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL4040,CHEMBL1293232,P28482,Q16637,MAPK1,SMN1,Mitogen-activated protein kinase 1,Survival motor neuron protein,CMGC protein kinase ERK subfamily,Tudor domain,18719,33450,3139,31,163,256,2689,11,80,150,2443,455,80,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL4005,CHEMBL2842,P42336,P42345,PIK3CA,MTOR,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Serine/threonine-protein kinase mTOR,Transferase,Atypical protein kinase FRAP subfamily,7732,5209,2713,2002,266,236,209,1552,80,81,90,910,80,1,1,1,1,0,0,0,cross_class
CHEMBL3397,CHEMBL3622,P11712,P33261,CYP2C9,CYP2C19,Cytochrome P450 2C9,Cytochrome P450 2C19,Cytochrome P450 2C9,Cytochrome P450 2C19,5867,5165,3187,219,347,358,2263,83,78,102,1695,1229,78,1,1,1,1,0,0,0,cyp_adme_panel
CHEMBL2392,CHEMBL1293235,P06746,P02545,POLB,LMNA,DNA polymerase beta,Prelamin-A/C,Enzyme,Structural protein,23075,36154,2924,29,155,441,2299,11,78,294,2059,482,78,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL220,CHEMBL1914,P22303,P06276,ACHE,BCHE,Acetylcholinesterase,Cholinesterase,Hydrolase,Hydrolase,6197,3798,2537,986,483,225,843,687,189,78,518,1065,78,1,1,1,1,0,0,1,same_protein_class
CHEMBL289,CHEMBL3397,P10635,P11712,CYP2D6,CYP2C9,Cytochrome P450 2D6,Cytochrome P450 2C9,Cytochrome P450 2D6,Cytochrome P450 2C9,6368,5867,2303,78,192,369,1664,29,78,105,1203,888,78,1,1,1,1,0,0,0,cyp_adme_panel
CHEMBL1293232,CHEMBL1293294,Q16637,P51151,SMN1,RAB9A,Survival motor neuron protein,Ras-related protein Rab-9A,Tudor domain,Hydrolase,33450,21934,8482,284,236,1323,6639,38,77,145,3564,4658,77,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3577,CHEMBL4040,P00352,P28482,ALDH1A1,MAPK1,Aldehyde dehydrogenase 1A1,Mitogen-activated protein kinase 1,Oxidoreductase,CMGC protein kinase ERK subfamily,75664,18719,5816,9,174,372,5261,3,77,224,4907,605,77,0,0,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL226,CHEMBL256,P30542,P0DMS8,ADORA1,ADORA3,Adenosine receptor A1,Adenosine receptor A3,Adenosine receptor,Adenosine receptor,5133,4922,2396,1516,266,412,202,916,77,94,87,1222,77,1,1,1,1,0,0,1,same_protein_class
CHEMBL3397,CHEMBL340,P11712,P08684,CYP2C9,CYP3A4,Cytochrome P450 2C9,Cytochrome P450 3A4,Cytochrome P450 2C9,Cytochrome P450 3A4,5867,12030,3586,184,438,281,2683,51,100,75,1952,1408,75,1,1,1,1,0,0,0,cyp_adme_panel
CHEMBL261,CHEMBL3729,P00915,P22748,CA1,CA4,Carbonic anhydrase 1,Carbonic anhydrase 4,Lyase,Lyase,7643,1640,1457,751,268,188,250,428,83,74,154,718,74,1,1,1,1,1,1,1,metal_enzyme
CHEMBL2608,CHEMBL1293235,P10253,P02545,GAA,LMNA,Lysosomal alpha-glucosidase,Prelamin-A/C,Hydrolase,Structural protein,22082,36154,3553,22,141,372,3018,6,73,267,2765,442,73,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3622,CHEMBL340,P33261,P08684,CYP2C19,CYP3A4,Cytochrome P450 2C19,Cytochrome P450 3A4,Cytochrome P450 2C19,Cytochrome P450 3A4,5165,12030,3531,146,459,331,2595,40,169,73,1818,1431,73,1,1,1,1,0,0,0,cyp_adme_panel
CHEMBL1829,CHEMBL1865,O15379,Q9UBN7,HDAC3,HDAC6,Histone deacetylase 3,Protein deacetylase HDAC6,HDAC class I,HDAC class IIb,2596,6554,1489,918,154,256,161,659,72,99,83,576,72,1,1,1,1,1,1,0,metal_enzyme
CHEMBL5162,CHEMBL1293224,Q6W5P4,P10636,NPSR1,MAPT,Neuropeptide S receptor,Microtubule-associated protein tau,Neuropeptide receptor,Other cytosolic protein,15047,67208,6731,10,186,235,6300,1,83,71,5783,793,71,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL205,CHEMBL3594,P00918,Q16790,CA2,CA9,Carbonic anhydrase 2,Carbonic anhydrase 9,Lyase,Lyase,8816,6197,5234,4207,344,285,398,3343,71,113,270,1437,71,1,1,1,1,1,1,1,metal_enzyme
CHEMBL1293235,CHEMBL1293237,P02545,P54132,LMNA,BLM,Prelamin-A/C,RecQ-like DNA helicase BLM,Structural protein,Enzyme,36154,2558,752,50,107,114,481,35,70,76,420,151,70,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL2608,CHEMBL1293232,P10253,Q16637,GAA,SMN1,Lysosomal alpha-glucosidase,Survival motor neuron protein,Hydrolase,Tudor domain,22082,33450,3471,24,132,469,2846,6,69,320,2523,553,69,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL4096,CHEMBL1293232,P04637,Q16637,TP53,SMN1,Cellular tumor antigen p53,Survival motor neuron protein,Transcription factor,Tudor domain,16995,33450,3443,64,256,188,2935,27,152,68,2546,650,68,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1287622,CHEMBL1293232,Q9Y468,Q16637,L3MBTL1,SMN1,Lethal(3)malignant brain tumor-like protein 1,Survival motor neuron protein,MBT domain,Tudor domain,13896,33450,1972,13,171,149,1639,5,68,91,1478,330,68,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL5162,CHEMBL1293235,Q6W5P4,P02545,NPSR1,LMNA,Neuropeptide S receptor,Prelamin-A/C,Neuropeptide receptor,Structural protein,15047,36154,4167,29,143,247,3748,11,67,149,3486,454,67,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL5514,CHEMBL1293224,P42858,P10636,HTT,MAPT,Huntingtin,Microtubule-associated protein tau,Unclassified protein,Other cytosolic protein,18767,67208,8114,19,367,206,7522,1,74,65,6663,1311,65,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1293224,CHEMBL1293294,P10636,P51151,MAPT,RAB9A,Microtubule-associated protein tau,Ras-related protein Rab-9A,Other cytosolic protein,Hydrolase,67208,21934,6937,81,312,1076,5468,2,65,212,3051,3607,65,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL251,CHEMBL256,P29274,P0DMS8,ADORA2A,ADORA3,Adenosine receptor A2a,Adenosine receptor A3,Adenosine receptor,Adenosine receptor,6737,4922,2345,1334,254,504,253,835,65,207,116,1122,65,1,1,1,1,0,0,1,same_protein_class
CHEMBL1075138,CHEMBL1293224,Q9NUW8,P10636,TDP1,MAPT,Tyrosyl-DNA phosphodiesterase 1,Microtubule-associated protein tau,Phosphodiesterase,Other cytosolic protein,12277,67208,5721,16,383,189,5133,1,132,64,4485,1039,64,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL233,CHEMBL236,P35372,P41143,OPRM1,OPRD1,Mu-type opioid receptor,Delta-type opioid receptor,Opioid receptor,Opioid receptor,7422,4901,3397,2307,586,158,346,1894,153,64,170,1116,64,1,1,1,1,0,0,1,same_protein_class
CHEMBL1293235,CHEMBL1293294,P02545,P51151,LMNA,RAB9A,Prelamin-A/C,Ras-related protein Rab-9A,Structural protein,Hydrolase,36154,21934,2974,81,356,399,2138,24,161,64,1291,1434,64,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1075138,CHEMBL1293235,Q9NUW8,P02545,TDP1,LMNA,Tyrosyl-DNA phosphodiesterase 1,Prelamin-A/C,Phosphodiesterase,Structural protein,12277,36154,2304,60,149,276,1819,26,64,160,1569,485,64,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL2608,CHEMBL3577,P10253,P00352,GAA,ALDH1A1,Lysosomal alpha-glucosidase,Aldehyde dehydrogenase 1A1,Hydrolase,Oxidoreductase,22082,75664,9762,10,362,183,9207,1,179,63,8638,881,63,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL4159,CHEMBL1293224,Q99714,P10636,HSD17B10,MAPT,3-hydroxyacyl-CoA dehydrogenase type-2,Microtubule-associated protein tau,Oxidoreductase,Other cytosolic protein,15273,67208,4523,7,213,157,4146,1,75,62,3713,672,62,0,0,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL236,CHEMBL237,P41143,P41145,OPRD1,OPRK1,Delta-type opioid receptor,Kappa-type opioid receptor,Opioid receptor,Opioid receptor,4901,6370,2812,1788,164,540,320,1351,62,195,119,1085,62,1,1,1,1,0,0,1,same_protein_class
CHEMBL1963,CHEMBL340,P16473,P08684,TSHR,CYP3A4,Thyrotropin receptor,Cytochrome P450 3A4,Glycohormone receptor,Cytochrome P450 3A4,16315,12030,2084,21,177,195,1691,6,83,62,1295,638,62,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3155,CHEMBL3371,P34969,P50406,HTR7,HTR6,5-hydroxytryptamine receptor 7,5-hydroxytryptamine receptor 6,Serotonin receptor,Serotonin receptor,3189,4392,1080,547,227,202,104,340,62,119,39,520,62,1,1,1,1,0,0,1,same_protein_class
CHEMBL204,CHEMBL209,P00734,P07477,F2,PRSS1,Prothrombin,Serine protease 1,Serine protease S1A subfamily,Serine protease S1A subfamily,5583,1405,733,286,181,170,96,185,92,62,49,345,62,1,1,1,1,0,0,1,same_protein_class
CHEMBL3524,CHEMBL325,P56524,Q13547,HDAC4,HDAC1,Histone deacetylase 4,Histone deacetylase 1,HDAC class IIa,HDAC class I,1204,8348,572,202,118,126,126,147,62,64,82,217,62,1,1,1,1,1,1,0,metal_enzyme
CHEMBL1293232,CHEMBL1293277,Q16637,O15118,SMN1,NPC1,Survival motor neuron protein,NPC intracellular cholesterol transporter 1,Tudor domain,Transporter,33450,18552,7387,237,196,962,5992,31,60,83,3401,3812,60,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL5162,CHEMBL1293232,Q6W5P4,Q16637,NPSR1,SMN1,Neuropeptide S receptor,Survival motor neuron protein,Neuropeptide receptor,Tudor domain,15047,33450,2931,22,118,238,2553,3,60,158,2318,392,60,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1963,CHEMBL3577,P16473,P00352,TSHR,ALDH1A1,Thyrotropin receptor,Aldehyde dehydrogenase 1A1,Glycohormone receptor,Oxidoreductase,16315,75664,6595,10,373,133,6079,1,175,58,5717,644,58,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1963,CHEMBL4040,P16473,P28482,TSHR,MAPK1,Thyrotropin receptor,Mitogen-activated protein kinase 1,Glycohormone receptor,CMGC protein kinase ERK subfamily,16315,18719,2495,23,120,183,2169,16,58,123,1991,307,58,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL268,CHEMBL2954,P43235,P25774,CTSK,CTSS,Cathepsin K,Cathepsin S,Cysteine protease C1A family,Cysteine protease C1A family,2228,2540,1058,685,161,171,41,471,58,71,19,439,58,1,1,1,1,0,0,1,same_protein_class
CHEMBL233,CHEMBL237,P35372,P41145,OPRM1,OPRK1,Mu-type opioid receptor,Kappa-type opioid receptor,Opioid receptor,Opioid receptor,7422,6370,3581,2506,305,413,357,1877,56,104,122,1422,56,1,1,1,1,0,0,1,same_protein_class
CHEMBL4005,CHEMBL3145,P42336,P42338,PIK3CA,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Transferase,Transferase,7732,2786,1990,988,299,213,490,602,56,67,189,1076,56,1,1,1,1,0,0,1,same_protein_class
CHEMBL3192,CHEMBL1937,Q9BY41,Q92769,HDAC8,HDAC2,Histone deacetylase 8,Histone deacetylase 2,HDAC class I,HDAC class I,3084,2866,1098,394,183,305,216,243,56,163,68,568,56,1,1,1,1,1,1,1,metal_enzyme
CHEMBL1963,CHEMBL1293235,P16473,P02545,TSHR,LMNA,Thyrotropin receptor,Prelamin-A/C,Glycohormone receptor,Structural protein,16315,36154,3324,33,145,284,2862,14,55,169,2635,451,55,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3892,CHEMBL4333,Q99500,P21453,S1PR3,S1PR1,Sphingosine 1-phosphate receptor 3,Sphingosine 1-phosphate receptor 1,EDG receptor,EDG receptor,1561,3424,1158,535,140,417,66,287,55,201,19,596,55,1,1,1,1,0,0,1,same_protein_class
CHEMBL1963,CHEMBL1293224,P16473,P10636,TSHR,MAPT,Thyrotropin receptor,Microtubule-associated protein tau,Glycohormone receptor,Other cytosolic protein,16315,67208,3221,7,134,122,2958,1,61,54,2688,417,54,0,0,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL3524,CHEMBL1865,P56524,Q9UBN7,HDAC4,HDAC6,Histone deacetylase 4,Protein deacetylase HDAC6,HDAC class IIa,HDAC class IIb,1204,6554,609,217,135,204,53,119,54,115,19,302,54,1,1,1,1,1,1,0,metal_enzyme
CHEMBL3577,CHEMBL4159,P00352,Q99714,ALDH1A1,HSD17B10,Aldehyde dehydrogenase 1A1,3-hydroxyacyl-CoA dehydrogenase type-2,Oxidoreductase,Oxidoreductase,75664,15273,9844,42,137,285,9380,8,53,88,8891,804,53,1,1,1,1,0,0,1,qhts_or_common_counter_screen
CHEMBL2835,CHEMBL2971,P23458,O60674,JAK1,JAK2,Tyrosine-protein kinase JAK1,Tyrosine-protein kinase JAK2,Tyrosine protein kinase JakA family,Tyrosine protein kinase JakA family,10506,12711,8513,7399,522,286,306,6316,113,53,104,1927,53,1,1,1,1,0,0,1,same_protein_class
CHEMBL4040,CHEMBL4159,P28482,Q99714,MAPK1,HSD17B10,Mitogen-activated protein kinase 1,3-hydroxyacyl-CoA dehydrogenase type-2,CMGC protein kinase ERK subfamily,Oxidoreductase,18719,15273,2615,15,207,106,2287,10,127,53,2108,317,53,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1963,CHEMBL4159,P16473,Q99714,TSHR,HSD17B10,Thyrotropin receptor,3-hydroxyacyl-CoA dehydrogenase type-2,Glycohormone receptor,Oxidoreductase,16315,15273,4014,16,208,130,3660,5,99,52,3417,441,52,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL1963,CHEMBL289,P16473,P10635,TSHR,CYP2D6,Thyrotropin receptor,Cytochrome P450 2D6,Glycohormone receptor,Cytochrome P450 2D6,16315,6368,1263,14,109,182,958,5,52,106,822,278,52,1,1,1,1,0,0,0,qhts_or_common_counter_screen
CHEMBL2148,CHEMBL3553,P52333,P29597,JAK3,TYK2,Tyrosine-protein kinase JAK3,Non-receptor tyrosine-protein kinase TYK2,Tyrosine protein kinase JakA family,Tyrosine protein kinase JakA family,7463,6175,3030,2203,166,494,167,1657,51,305,74,943,51,1,1,1,1,0,0,1,same_protein_class
CHEMBL1287622,CHEMBL1293235,Q9Y468,P02545,L3MBTL1,LMNA,Lethal(3)malignant brain tumor-like protein 1,Prelamin-A/C,MBT domain,Structural protein,13896,36154,2249,55,160,244,1790,22,51,151,1625,400,51,1,1,1,1,0,0,0,qhts_or_common_counter_screen
