gene_A,gene_B,uniprot_A,uniprot_B,supply_bucket,same_class,metal_either,min_strict_hardneg,n_both_measured,pocket_A,pocket_B,n_holo_A,n_holo_B,h3_A,h3_B,h3_pass,example_pdbs_A,example_pdbs_B,n_shared_non_solvent_ligands,shared_chem_comp,structure_decision,include_for_fresh_roster,structure_note
CREBBP,BRD4,Q92793,O60885,cross_class,0,0,270,2056,hat_and_bromodomain,bromodomain,113,593,1,1,1,5I86;5J0D;5I89;5KTW;4NYX;5EP7;4NR7;6YIL,4QB3;6FO5;7Z9W;4ZC9;9P34;6I7Y;7ZAJ;8YMG,19,15E;2LL;2LO;3OT;3PF;53W;5J5;6XH;77X;7OW;9U4;AY2;B3P;BU3;JHL;N6I;OS8;SCN;YF2,include_candidate_epigenetic_caveat,1,H3 pass (113/593). Shared chem_comp n=19 (upper bound; many are bromodomain ligands). CREBBP has both HAT catalytic site and bromodomain; BRD4 is bromodomain. A DualFourClass freeze must pick which CREBBP domain. Not kinase-ATP equivalent.
CNR1,CNR2,P21554,P34972,same_protein_class,1,0,246,3391,gpcr,gpcr,26,13,1,1,1,23IV;23IW;5U09;7FEE;5TGZ;5XRA;8GHV;9B54,12IZ;5ZTY;8GUR;12JA;6KPF;12IY;8GUS;8GUT,1,9GF,include_candidate_gpcr_homolog,1,"H3 pass. Class A GPCR 7TM pocket is dockable in principle (membrane protein, lipid/detergent holos). Shared non-solvent chem_comp n=1."
HCRTR1,HCRTR2,O43613,O43614,same_protein_class,1,0,210,6155,gpcr,gpcr,14,11,1,1,1,6TOD;6TOS;6TOT;6TO7;6TQ4;6TP6;6TQ6;6TQ9,5WQC;5WS3;4S0V;6TPN;6TPJ;6TPG;7XRR;7L1V,3,7MA;NRK;SUV,include_candidate_gpcr_homolog,1,"H3 pass. Class A GPCR 7TM pocket is dockable in principle (membrane protein, lipid/detergent holos). Shared non-solvent chem_comp n=3."
SLC6A4,SLC6A3,P31645,Q01959,same_protein_class,1,0,131,2598,slc_transporter,slc_transporter,14,16,1,1,1,9HCO;7TXT;5I6X;5I71;9VWS;5I73;9IY7;6VRH,9EO4;9JKI;9JKJ;8Y2D;9J6S;8Y2G;9J6U;8Y2F,4,A1EA1;HP6;LNK;Y01,include_candidate_transporter_homolog,1,H3 pass. SLC6 structures exist but are membrane proteins with detergent/lipid ligands; harder than soluble kinases.
F2,F10,P00734,P00742,same_protein_class,1,0,117,1868,serine_protease,serine_protease,429,182,1,1,1,5AFY;4UD9;4UE7;4UDW;4UEH;5AF9;3RM2;5AHG,9I24;2JKH;2Y5F;2Y5G;2Y5H;3KL6;2PR3;6YYX,11,0G6;0GJ;6XS;701;7R9;894;895;A1JDJ;IMD;R11;T87,include_candidate_conventional,1,H3 pass. Conventional small-molecule pockets (serine_protease/serine_protease); same-family homolog/isoform. Same-end ligand chem_comp overlap detected.
JAK1,TYK2,P23458,P29597,same_protein_class,1,0,94,3503,kinase_atp,kinase_atp,47,51,1,1,1,6N7A;10PI;6N77;6N7C;6GGH;6RSH;8S85;6RSD,3LXP;8S99;4WOV;8S9A;8S98;5C03;5TKD;6NZE,6,9T6;ADP;G4J;IZA;MI1;R4S,include_candidate_conventional,1,H3 pass. Conventional small-molecule pockets (kinase_atp/kinase_atp); same-family homolog/isoform. Same-end ligand chem_comp overlap detected.
SLC6A2,SLC6A4,P23975,P31645,same_protein_class,1,0,93,2920,slc_transporter,slc_transporter,36,14,1,1,1,8ZP2;9KDA;9KDM;8HFE;8HFI;8ZOY;8ZP1;9KDH,9HCO;7TXT;5I6X;5I71;9VWS;5I73;9IY7;6VRH,3,68P;A1EA1;YG7,include_candidate_transporter_homolog,1,H3 pass. SLC6 structures exist but are membrane proteins with detergent/lipid ligands; harder than soluble kinases.
PPARG,PPARA,P37231,Q07869,cross_class,0,0,85,2058,nuclear_receptor_lbd,nuclear_receptor_lbd,363,78,1,1,1,9F7W;9V8G;9V8H;8FKC;6MS7;9V8D;3U9Q;8B94,6KAX;6LXA;6KB1;6LX6;6KB0;9IWM;6LX9;6LX7,20,4M5;544;65W;ACD;AZ2;BJB;CTM;ET1;EWR;F5A;GW9;KKB;P7F;PEM;PGO;RO7;S44;WUE;WY1;Y1N,include_candidate_same_family_nr,1,"Nuclear-receptor LBD, conventional small-molecule pocket, H3 pass. Same PPAR family (isoform duals exist). Not a cross-class dual."
PPARA,PPARD,Q07869,Q03181,cross_class,0,0,84,1226,nuclear_receptor_lbd,nuclear_receptor_lbd,78,54,1,1,1,6KAX;6LXA;6KB1;6LX6;6KB0;9IWM;6LX9;6LX7,5U3Q;5Y7X;5U3T;5U42;5U3Z;5U3W;7WGN;5U3V,8,BJB;EPA;ET1;IL2;KKB;P7F;PEM;PGO,include_candidate_same_family_nr,1,"Nuclear-receptor LBD, conventional small-molecule pocket, H3 pass. Same PPAR family (isoform duals exist). Not a cross-class dual."
PIK3CA,MTOR,P42336,P42345,cross_class,0,0,80,2713,kinase_atp,kinase_atp,106,41,1,1,1,9CMK;9ASF;9CX0;7L1C;9CWY;8EXL;9CX1;9CML,4DRI;5GPG;4DRJ;3FAP;8PPZ;8XI9;9PJ1;1NSG,0,,include_candidate_conventional,1,"H3 pass at ≤3.5 Å (106/41). Conventional kinase ATP. PI-103 dual co-crystal is 4L23 (2.50 Å, X6K) + 4JT6 (3.60 Å, X6K): the mTOR gold structure sits 0.10 Å outside the H3 cut, so chem_comp overlap at ≤3.5 is 0. 4JT5 (3.45 Å) is an mTOR holo with a different ligand (P2X)."
