id,compound_name_en,compound_name_cn,compound_type,covalent_site,site_species,human_ortholog_site,domain,warhead_type,mechanism_route,molecular_mechanism,validation_methods,activity,irreversible,selectivity_offtarget,developability_in_vivo,journal,year,doi,pubmed_status,af3_calibration_priority,notes
1,Oridonin,冬凌草甲素,天然产物,Cys279,Human,Cys279,NACHT,环戊烯酮 Michael 受体,A_NEK7_block,共价修饰 Cys279 → 阻断 NLRP3–NEK7 → 寡聚/ASC 组装下降 → IL-1β/IL-18 释放减少,biotin-Oridonin pull-down；洗脱后仍抑制；C279A 突变取消结合与功能,BMDM IC50 ~275 nM,是,NLRP3 特异；不抑制 AIM2/NLRC4,水溶性 <1 μg/mL；大鼠口服生物利用度 <5%；代谢快；腹膜炎/痛风性关节炎/T2D 模型有效（3–20 mg/kg）,Nat Commun,2018,https://doi.org/10.1038/s41467-018-04947-6,Indexed,★★☆,人源编号 Cys279；鼠源同源位点为 Cys280（见 README 物种编号说明）；C279 创始文献；成药性较差
2,Compound 49 (IAL derivative),化合物49（IAL衍生物）,天然产物类似物,Cys279,Human,Cys279,NACHT,倍半萜内酯 Michael 受体,A_NEK7_block,共价修饰 Cys279 → 阻断 NLRP3 inflammasome 组装（机制同 Oridonin）,位点突变 + 机制实验,THP-1 IL-1β IC50 0.29 μM（比 IAL 强约27倍）,是,NLRP3,代谢稳定性优于 IAL；DSS 结肠炎体内有效,J Med Chem,2024,https://doi.org/10.1021/acs.jmedchem.4c00357,Indexed,★★☆,人源 THP-1 实验；isoalantolactone 骨架 SAR（64个衍生物）；与 Oridonin 同位点（人源 Cys279）
3,DCL (Dehydrocostus lactone),脱氢木香内酯,天然产物,Cys280,Mouse,Cys279,NACHT,αβ-不饱和-γ-内酯,A_NEK7_block,共价修饰 Cys280（鼠源）→ NEK7–NLRP3 相互作用下降 → ASC 寡聚下降；不影响 NLRP3 ATPase,LC-MS/MS 肽段定位 C280；C280A 突变；DCL-R 还原双键失活；洗脱不可逆,IC50 25 nM；10 nM 即可抑制 caspase-1/IL-1β,是,NLRP3 特异；不影响 K+/Cl-外流、Ca2+内流、线粒体 ROS 等上游信号,5 µg/kg i.p. 体内有效；30–100 mg/kg 低毒；活性约为 Oridonin 10倍,MedComm,2025,https://doi.org/10.1002/mco2.70367,Indexed,★★★,原文报道鼠源 Cys280；对应人源同源位点 Cys279（非录入错误）；以 Oridonin/Cys279 口袋为锚点天然产物库虚筛发现
4,E1 (guaianolide derivative),E1（guaianolide衍生物）,天然产物类似物,Cys280,Mouse,Cys279,NACHT,guaianolide 内酯共价弹头,A_NEK7_block,共价不可逆修饰 Cys280（鼠源）→ 抑制 NLRP3/pro-caspase-1/ASC 组装；机制不同于 MCC950,共价不可逆实验 + C280 位点映射,IC50 24.4 nM,是,NLRP3,DMPK 较好；hERG 毒性低；体内抗炎有效,J Med Chem,2025,https://doi.org/10.1021/acs.jmedchem.5c01663,Indexed (2025-10),★★☆,原文鼠源 Cys280 = 人源 Cys279；J. Med. Chem. 2025 68(20):21534-21559；DOI 与 PubMed 均已上线；AI TransGenGRU 生成后优化
5,RRx-001 (Nibrozetone),RRx-001,合成药物,Cys409,Human,Cys409,NACHT,溴乙酰胺,A_NEK7_block,共价修饰 Cys409 → 阻断 NLRP3–NEK7 → 抑制经典/非经典/替代 NLRP3 炎症小体,C409A 突变取消结合与抑制,IC50 ~117 nM,是,NLRP3 强效；亦修饰 Keap1/Nrf2、Myc 等,临床 III 期（抗癌适应症）；可过血脑屏障；含高能硝基；LPS/DSS/EAE 有效,Cell Mol Immunol,2021,https://doi.org/10.1038/s41423-021-00683-y,Indexed,★★☆,人源 HEK293T/巨噬细胞体系；老药新用
6,149-01,149-01,合成类似物,Cys409,Human,Cys409,NACHT,溴乙酰胺（无硝基）,A_NEK7_block,共价修饰 Cys409 → 阻断 NEK7–NLRP3 → 抑制炎症小体组装（机制同 RRx-001）,C409 直接结合验证；机制同 RRx-001,与 RRx-001 活性相当,是,多靶风险低于 RRx-001,去除硝基降低毒性/工艺风险；LPS/MSU/EAE 有效,Front Pharmacol,2022,https://doi.org/10.3389/fphar.2022.822833,Indexed,★★☆,RRx-001 去硝基优化类似物；人源 Cys409
7,Itaconate / 4-OI,衣康酸/4-OI,内源代谢物,Cys548,Murine,Cys548 (murine),HD2,dicarboxypropylation（+242 Da）,A_NEK7_block,共价 dicarboxypropylation 修饰 C548（鼠源 HD2，NEK7 接触面）→ 阻断 NLRP3–NEK7 → 抑制 inflammasome 激活,串联 MS 鉴定鼠源 C548 修饰；Co-IP 显示 NEK7 结合阻断,代谢物浓度依赖,是,生理调节剂；抑制 NLRP3 不抑制 AIM2/NLRC4；CAPS 患者 PBMC 有效,内源调控；药物化难度高；以研究工具为主,Cell Metab,2020,https://doi.org/10.1016/j.cmet.2020.07.016,Indexed,★☆☆,4-OI 为细胞透性工具衍生物；位点鉴定基于 murine NLRP3；人源对应残基引用时需核对 UniProt 编号
8,Costunolide,木香烃内酯,天然产物,Cys598,Human,Cys598,NACHT（ATP区邻域）,α-亚甲基-γ-丁内酯,B_ATPase_oligomerization,共价修饰 Cys598 → ATPase 活性改变 → NLRP3 寡聚/激活下降；非主要经 NEK7 阻断,MS 肽段；rhNLRP3-NACHT C598A pull-down 失结合；r-COS 还原失活；洗脱不可逆,细胞/动物 nM 级抗炎,是,NLRP3,痛风关节炎/溃疡性结肠炎体内有效,Acta Pharm Sin B,2023,https://doi.org/10.1016/j.apsb.2022.09.014,Indexed,★★★,人源 Cys598；位于 NACHT ATP 结合区邻域 α-螺旋；与 C279/280/409 位点不同；ATP/寡聚路线代表；验证应含 ATPase assay
9,Manoalide,Manoalide,天然产物,Lys377,Human,Lys377,NACHT（HD1）,γ-羟基丁烯内酯 + α-羟基二氢吡喃（Lys亲电）,A_NEK7_block（构象依赖）,共价修饰 Lys377（HD1，不在 NEK7 直接 cryo-EM 界面）→ 构象改变 → NEK7–NLRP3 下降,DARTS；K377A 突变取消结合与抑制,100–500 nM 抑制 IL-1β,是,NLRP3 选择性（DARTS）；原靶标 PLA2 IC50 ~60 μM,海洋天然产物，合成难度大；EAE 模型有效,Front Cell Dev Biol,2022,https://doi.org/10.3389/fcell.2022.822236,Indexed,★☆☆,差异化机制：Lys 共价（非 Cys）；K377 不在 NEK7-NLRP3 直接结合界面（Sharif 2019）；AF3 Cys 筛库不适用
10,VLX1570,VLX1570,合成药物,多 Cys（C108/C130等）,Human/mouse,多 Cys,PYD等多结构域,多亲电基团交联剂,C_crosslinking,NLRP3 分子间共价交联 → 高分子量聚集体 → 抑制组装；独立于 ATPase 和 NEK7,PYD 结构域 Cys 突变；HMW 交联实验,ReFRAME 库 HTS hit,是,选择性差（多 Cys 脱靶）,体内 LPS 炎症有效；不宜作药物开发主线,ACS Chem Biol,2024,https://doi.org/10.1021/acschembio.3c00654,Indexed,✗（阴性对照）,交联机制；多 Cys 交联型；非单一位点药物
