path,present,nbytes,sha256,role,status
REMEDIATION_REPORT.md,1,6093,56d5619e5d873834da1302b3d5df162af7ca93238e2077cd148a08d9396628b3,remediation,post_fix
ache_bche_old_vs_corrected_panel.csv,1,16120,e1a7e22760e0f3aecce89172c99cc7df6b227f1ccdb5ac60473170f1ce22ca8a,remediation,post_fix
ache_bche_pre_vs_post_panel_metrics.csv,1,1547,bd80c9b62304ee29018fe1231825881c2b144cd1f697797d167c0e939d0fd9ee,remediation,post_fix
egfr_3POZ_box_old_vs_corrected.csv,1,865,02c7d31e1629fe5aec5ec2a705a13fc0c599850a95e7a64bff7ded771920d916,remediation,post_fix
egfr_her2_pre_vs_post_box_metrics.csv,1,2153,e627afc6d9ac66e7db94311e985ad2f94af1956ee10911acb9392a73b8bd9d56,remediation,post_fix
figure_diff_pre_vs_post.csv,1,312,2c97eb8315a66c06a4bf82b2329dd256719c9306975f78c9ef6ebbf3475e0305,remediation,post_fix
figure_number_trace_post_fix.csv,1,1522,bac0b681f8c9a9088c775fa39853a43298904edd00a9482bd3555c67e71dc174,remediation,post_fix
her2_3RCD_box_old_vs_corrected.csv,1,864,d95e8380c63759389eab3770098a5abf1fe58743540b33e0a2c0b3f4a58a732e,remediation,post_fix
holdout_scaffold_overlap_post_fix.csv,1,3688,d4b07fee30b724c4ce866ec9f5722d449c54d860fedf0aecf5da912dfb6124d0,remediation,post_fix
legacy_egfr_her2_boxes/3POZ_box.json,1,149,9feb76554224e66e5d8ecfc5e6091c9c17bcaa7bf9f9fda906d79547997045be,remediation,post_fix
legacy_egfr_her2_boxes/3POZ_box.txt,1,99,113350b4b11cef30b96c9fc26f23a37eeb9643e2446ac589450de2a8f4697ee8,remediation,post_fix
legacy_egfr_her2_boxes/3RCD_box.json,1,149,891043d64aacc3ebbe6445648b94741014347a7441244c2503fd2b2a1bb80f73,remediation,post_fix
legacy_egfr_her2_boxes/3RCD_box.txt,1,99,63ad05893d12c0a4c50e617940f57426a707759ba8272844cec87086c6e7f62d,remediation,post_fix
legacy_egfr_her2_boxes/README.md,1,698,baff4666fa3acf1595e1c610c1b50db91eed332fbd98e68af11707b5db60fbe5,remediation,post_fix
metric_diff_pre_vs_post.csv,1,2796,1d3189e61b651f91565041f052eee7ee23f654a11614a8d88d72fb0db57fe45e,remediation,post_fix
phase0_freeze/git_commit.txt,1,136,bdb7be6725bbd1790b45d5e7eaf4817c1ce7ec0f206ac8002947858a4256783e,remediation,post_fix
phase0_freeze/pre_fix_core_eight_metrics.csv,1,1188,f84b6f967213ac3af0dd99f9b7f317e569fd1b2f1d841e1d232b1045d51f4f1c,remediation,post_fix
phase1_boxes/3POZ_box_corrected.json,1,338,b90eaa40a9abe4f69c20b00f8a9cb5bc967baed854881870e927d0a6867f819d,remediation,post_fix
phase1_boxes/3POZ_box_corrected.txt,1,119,7bfeec3e1a8afb714fadb54a9af063bfd0e8cd0d57064a87ba882a29f0a14295,remediation,post_fix
phase1_boxes/3RCD_box_corrected.json,1,337,f6f1dba9bbcd74b81eb8ca2a5b840356b40a5556649feba6015ec7369866d98a,remediation,post_fix
phase1_boxes/3RCD_box_corrected.txt,1,118,3688c119ce834a3542370e27dbdab37765c8c1a1a93da4ceb7f13236263ee29c,remediation,post_fix
phase1_boxes/box_rule_consistency_ache_pik3ca.csv,1,817,10fbb576f99a5bb3f4de72bc608056d10a34125431d24c304f6182065abcaf40,remediation,post_fix
phase1_cognate_redock/cognate_redock_corrected_box.csv,1,80,2e5b5648cc0b01a49e143c84a4b9701652a6c57d270d86acaf455fd75f7affff,remediation,post_fix
phase1_vina/confs/3POZ_EH120_041.txt,1,496,0a86161f34855f4b9d158cb5581843c878c8efba7fcc9a24d74fea2dce49df11,remediation,post_fix
phase1_vina/confs/3POZ_EH120_042.txt,1,496,ff774c4dbf3772c25d6a60a76c9461f4620aa37aa16b7046b6c1064af2c0f0ae,remediation,post_fix
phase1_vina/confs/3POZ_EH120_043.txt,1,496,37e5094a86190eb86b950650d890a9cea9ec713d8aed20eedeb55806c371cf5e,remediation,post_fix
phase1_vina/confs/3POZ_EH120_044.txt,1,496,7cfaa16757396efbe54d6f951cae5bb38f7f9e743a47dd50505eab54d171f22f,remediation,post_fix
phase1_vina/confs/3POZ_EH120_045.txt,1,496,34de51c666d2ead16ff2ffb97a8f44b04f3822be00caf7dcabccb99bb9477278,remediation,post_fix
phase1_vina/confs/3POZ_EH120_046.txt,1,496,cb73f35cb4db324fbf253471e64617f2be7bf33c93b83b9fc11c2e3b28c664df,remediation,post_fix
phase1_vina/confs/3POZ_EH120_047.txt,1,496,e7fec5874a2e6c1e4dc26954f3fc1eb32f5ee265e4850ba9b30b928dc1e24b43,remediation,post_fix
