compound_id,aliases,scaffold,binding_site_category,binding_site_detail,mechanism,covalent_reversible,assay_cells,stimuli,readout,IC50_KD,ATPase_inhibition,PDB,structure_year,key_residues,species_selectivity,clinical_status,DOI,year,journal,figure_url,notes
CY-09,C172 derivative; thiazolidinone,Thiazolidinone sulfonamide,Walker_A_ATP_pocket,Walker A motif (ATP-binding site) in NACHT domain,Direct binding blocks ATP binding and NLRP3 ATPase; inhibits oligomerization and ASC recruitment,Reversible (non-covalent),BMDM; THP-1; HEK293T reconstituted,LPS priming + nigericin/MSU/ATP,IL-1β release; caspase-1 activation,Kd=0.5 µM (MST on NACHT); cellular IL-1β IC50~6 µM (BMDM LPS/nigericin),Yes (dose-dependent inhibition of purified NLRP3 ATPase),None,None,Walker A (K232 region); competes with ATP,Human and mouse,Preclinical tool compound,10.1084/jem.20171419,2017,Journal of Experimental Medicine,https://rupress.org/jem/article/214/11/3219/42284/figure-data,Originally misattributed to Nature Medicine in prior notes; journal is JEM. Selective for NLRP3 vs AIM2/NLRC4.
Oridonin,Ori; Rabdosia rubescens diterpenoid,Ent-kaurane diterpenoid,NEK7_interface,NACHT domain Cys279 (human numbering),Covalent Michael addition to Cys279 blocks NLRP3-NEK7 interaction and inflammasome assembly,Covalent irreversible,BMDM; THP-1; NLRP3-reconstituted macrophages,LPS + nigericin/MSU,IL-1β; caspase-1; pyroptosis,IL-1β IC50~0.75 µM (BMDM); in vivo 3-20 mg/kg,Indirect (blocks NEK7 binding not Walker pocket directly),None,None,Cys279 (human); mouse rescue experiments used C275A mutant,Human and mouse,Preclinical/natural product lead,10.1038/s41467-018-04947-6,2018,Nature Communications,https://www.nature.com/articles/s41467-018-04947-6/figures,Prior error: Cys273 was incorrect. Human target is Cys279; mouse ortholog tested as C275A. Low oral bioavailability (<5% in rodents).
Tranilast,TR; anti-allergic drug,Anthranilic acid derivative,Oligomerization_interface,NACHT domain (oligomerization surface),Direct NACHT binding blocks NLRP3-NLRP3 oligomerization; ATPase-independent,Non-covalent (reversible binding inferred),BMDM; human PBMC; synovial fluid cells,LPS + MSU/nigericin,IL-1β; ASC speck formation,Effective at low µM in macrophages (e.g. 10 µM blocks ~80% IL-1β in BMDM),No (does not inhibit NLRP3 ATPase),None,None,NACHT oligomerization interface,Human and mouse,Approved drug (Japan/Korea/China); repurposing candidate,10.15252/emmm.201708689,2018,EMBO Molecular Medicine,https://www.embopress.org/doi/10.15252/emmm.201708689,Does not affect K+ efflux mitochondrial damage or chloride efflux. Selective vs AIM2/NLRC4.
RRx-001,,Dinitroazetidine sulfonate,NEK7_interface,NACHT Cys409,Covalent bromoacetyl alkylation of Cys409 blocks NLRP3-NEK7 interaction,Covalent irreversible,BMDM; THP-1; primary macrophages,LPS + nigericin/ATP/cLPS,IL-1β; caspase-1; pyroptosis,Low nM potency reported in review (IC50 context assay-dependent),No direct ATPase blockade reported,None,None,Cys409 (NACHT),Human and mouse,Phase III (oncology SCLC); NLRP3 mechanism published 2021,10.1038/s41423-021-00683-y,2021,Cellular & Molecular Immunology,https://www.nature.com/articles/s41423-021-00683-y/figures,Also targets Keap1 Myc hemoglobin Cys93. Blocks canonical noncanonical and alternative NLRP3 pathways.
4-OI,4-octyl itaconate; itaconate derivative,Itaconate ester prodrug,NEK7_interface,Mouse NLRP3 Cys548 (dicarboxypropylation),Michael addition alkylates Cys548; blocks NLRP3-NEK7 interaction,Covalent (itaconation),BMDM; Irg1-/- BMDM; CAPS patient PBMC,MSU; nigericin; LPS,IL-1β; NEK7 pulldown,Endogenous itaconate and 4-OI active at low µM,No,None,None,Cys548 (mouse); human ortholog not identical,Mouse primary data; human CAPS PBMC ex vivo,Preclinical metabolite,10.1016/j.cmet.2020.07.016,2020,Cell Metabolism,https://www.sciencedirect.com/science/article/pii/S1550413120304113,Human NLRP3 lacks direct C548 homolog; human mechanism may differ. Endogenous IRG1/ACOD1 product.
BAL-0028,Compound 3; indazole sulfonamide,Indazole sulfonamide,Allosteric_FISNA_Glu_switch,NLRP3 NACHT surface groove (FISNA+WHD+NBD β-sheet); distinct from MCC950 pocket,Binds NACHT without inhibiting ATPase; stabilizes inactive decamer; additive with MCC950,Reversible,BMDM; THP-1; humanized NLRP3 mice,DEL screen conditions; LPS + nigericin,IL-1β; IL-18; pyroptosis,DEL IC50=25 nM; THP-1+nigericin IC50=57.5 nM; KD=110 nM (SPR NACHT; Torp 2025),No (does not inhibit NLRP3 ATPase),None,None,Y258 H260 β2 strand; lead for BAL-1516 series,Human and primate potent; poor mouse NLRP3 inhibition,Preclinical lead,10.1084/jem.20242403,2025,Journal of Experimental Medicine,https://rupress.org/jem/article/222/6/e20242403/figure-data,Discovery: Hartman 2024 BMCL. Structural details resolved by optimized analog BAL-1516 (Torp bioRxiv 2025).
BAL-1516,BAL-0028 optimized CNS analog,Indazole-azaindazole thiazole,Allosteric_FISNA_Glu_switch,NBD surface groove adjacent to AAA+ β-sheet; contacts FISNA and WHD; opposite ADP; distinct from MCC950,Binds via 3 H-bonds to NBD β2 strand (Glu-switch); does not inhibit ATP hydrolysis; additive binning with MCC950,Reversible,HEK293T ASC-BFP; monocytes; PBMC; iPSC microglia,LPS + nigericin/MSU,ASC specks; IL-1β; IL-18,KD=14.2 nM (human NACHT SPR); mouse NACHT KD=200 nM; ASC speck IC50=14.5 nM; microglia IL-1β IC50=11 nM,No,9IHN; 9Q8V,2025,Y258 H260 F257 I259; near Cys279 and Cys514; (R)-chiral centre essential,CNS-penetrant (Kp~0.1-0.3); binds mouse NLRP3 (improved vs BAL-0028),Preclinical CNS lead,10.1101/2025.07.01.662566,2025,bioRxiv preprint,https://www.rcsb.org/structure/9IHN,First co-crystal of BAL series. Optimized from BAL-0028 for BBB penetration. PDB status HPUB (hold until publication).
BAL-0598,BAL-0028 derivative,Indazole sulfonamide,Allosteric_FISNA_Glu_switch,Same modality as BAL-0028,Oral bioavailable derivative; in vivo NLRP3 inhibition in humanized NLRP3 peritonitis model,Reversible,Humanized NLRP3 mice,MSU peritonitis,IL-1β in peritoneum,Derived from BAL-0028 series,No,None,None,Same as BAL-0028,Human/primate-selective scaffold,Preclinical lead,10.1084/jem.20242403,2025,Journal of Experimental Medicine,,Optimized for in vivo efficacy vs BAL-0028.
VLX1570,,Benzothiazole electrophile multi-warhead,PYD_crosslinking,PYD domain Cys108 and Cys130 (plus other NLRP3 cysteines),Intermolecular covalent crosslinking of NLRP3 causes HMW aggregates and blocks inflammasome assembly,Covalent irreversible,THP-1; HEK293T; mouse peritoneum,LPS; LPS+ATP,IL-1β; HMW NLRP3 on blot,Potent in cell screen (0.03-0.3 µM range in table),No (independent of ATPase and NEK7),None,None,Cys108 Cys130 (PYD); multiple reactive cysteines,Human and mouse,Preclinical (was DUB inhibitor program),10.1021/acschembio.3c00330,2024,ACS Chemical Biology,https://pubs.acs.org/doi/10.1021/acschembio.3c00330,Originally developed as USP14/UCHL5 DUB inhibitor. Novel mechanism distinct from pocket binders.
MNS,3,4-methylenedioxy-β-nitrostyrene,Nitrostyrene,Walker_A_ATP_pocket,NACHT and LRR domains; covalent cysteine modification near ATP site inhibits ATPase and ASC speck formation,Covalent (Michael acceptor nitrovinyl),BMDM; THP-1,LPS + nigericin/ATP,IL-1β; ASC speck; ATPase assay,IC50~2 µM (BMDM IL-1β),Yes (purified NLRP3 ATPase inhibited),None,None,NACHT+LRR; cysteine near ATP-binding site,Syk-independent effect,Preclinical tool,10.1074/jbc.M113.515080,2013,Journal of Biological Chemistry,,Originally identified as Syk inhibitor but NLRP3 effect is Syk-independent. Bay11-7082 competes for same cysteine region.
