compound_id,aliases,scaffold,binding_site_category,binding_site_detail,mechanism,covalent_reversible,assay_cells,stimuli,readout,IC50_KD,ATPase_inhibition,PDB,structure_year,key_residues,species_selectivity,clinical_status,DOI,year,journal,figure_url,notes
MCC950,CRID3; CP-456773,Sulfonylurea (indan-urea-furan),CRID3_MCC950_pocket,Walker B / nucleotide-binding domain cleft between NACHT subdomains,Sulfonylurea binds cleft connecting four NACHT subdomains + transition LRR; stabilizes inactive ADP-bound closed conformation; Walker A Arg interaction,Reversible,BMDM; human whole blood; CAPS cells,LPS + nigericin/ATP,IL-1β; caspase-1,IC50=7.5-18 nM (assay-dependent); clinical doses not reached due to hepatotoxicity,Yes (blocks ATP hydrolysis motif),7PZC; 7VTP; 7VTQ,2022,Walker A (R351 R578) + Walker B hydrophobic pocket,Human and mouse (broad),Discontinued (Phase 2 hepatotoxicity),10.1038/s41586-022-04467-w,2022,Nature,https://www.rcsb.org/structure/7PZC,Gold-standard structural tool. Mouse structure 7VTQ; human hexamer 7VTP. Prior clinical candidate.
NP3-146,Compound in 7ALV,Sulfonylurea-related,CRID3_MCC950_pocket,Same NACHT inactive-state pocket as MCC950 class,Intramolecular glue locks NACHT in inactive ADP-bound conformation,Reversible,Recombinant NACHT; cellular assays,In vitro binding,Structural stabilization,Kd low nM range (series),Yes (stabilizes inactive ATPase state),7ALV,2021,Walker A + subdomain interface,Human,Preclinical tool (Pfizer),10.1016/j.jmb.2021.167309,2021,Journal of Molecular Biology,https://www.rcsb.org/structure/7ALV,First high-resolution crystal structure of NLRP3 NACHT with inhibitor.
GDC-2394,G2394; JT-001,Tricyclic sulfonamide (Jecure),CRID3_MCC950_pocket,Same pocket as MCC950 (closed NACHT conformation),Stabilizes inactive NLRP3 NACHT; clinical candidate from Jecure/Genentech,Reversible,Human whole blood; Phase 1,NLRP3 activation assays,IL-1β,Low nM cellular potency reported,Yes,8ETR,2022,NACHT Walker A region,Human,Terminated Phase 1 (DILI),10.1021/acs.jmedchem.2c01250,2022,Journal of Medicinal Chemistry,https://www.rcsb.org/structure/8ETR,Cryo-EM NACHT domain structure. Development stopped due to drug-induced liver injury.
SN3-1,NP3-1,Halogenated indan sulfonylurea,CRID3_MCC950_pocket,MCC950-class sulfonylurea pocket in NACHT,Stabilizes inactive ADP-bound NLRP3,Reversible,Cellular inflammasome assays,LPS + nigericin,IL-1β,Low nM (series),Yes,8ZEM,2024,Walker A + hydrophobic cleft,Human,Preclinical,10.1038/s44321-024-00181-4,2024,EMBO Molecular Medicine,https://www.rcsb.org/structure/8ZEM,Crystal structure 3.32 Å. Related to phenotypic screen compound series.
NP3-562,Compound 1 optimized,Tricyclic thiadiazine,CRID3_MCC950_pocket,Same pocket region; unique tricyclic binding mode vs classic sulfonylurea,Orally bioavailable; binds NACHT inactive state; distinct linker interactions vs MCC950,Reversible,Human whole blood; mouse peritonitis,LPS + nigericin,IL-1β,Low nM whole blood; 30 mg/kg po full IL-1β inhibition in mouse peritonitis,Yes,8RI2,2024,Walker A Arg578 + Asp662 (vs MCC950 Arg351),Human,Preclinical,10.1021/acs.jmedchem.3c01556,2024,Journal of Medicinal Chemistry,https://www.rcsb.org/structure/8RI2,NOT a different binding site—same pocket different chemotype. Prior notes incorrectly separated NIC-12/NP3-562.
NIC-12,Compound C (EMBO Mol Med 2024),Tricyclic pyrimidine,CRID3_MCC950_pocket,Same pocket as MCC950 (overlay RMSD 2.05 Å to 7VTP),Phenotypic screen hit; binds same hydrophobic pocket with different linker anchoring,Reversible,THP-1; MBP-hNLRP3-ΔPYD,NLRP3 activation,IL-1β; cryo-EM,Low nM (optimized series),Yes,8WSM,2023,Walker A + Arg578; Asp662 anchor,Human,Preclinical,10.1038/s44321-024-00181-4,2024,EMBO Molecular Medicine,https://www.rcsb.org/structure/8WSM,PDB 8WSM = compound 32 from same paper. Same pocket as MCC950 NOT a separate site.
Inzomelid,IZD174; MCC-7840,MCC950-related sulfonylurea,CRID3_MCC950_pocket,MCC950-class NLRP3 inhibitor,Brain-penetrant NLRP3 inhibitor from Inflazome,Reversible,Healthy volunteers; CAPS patients,Phase 1 SAD/MAD,IL-1β PD marker; CAPS symptoms,Phase 1 safe; PD confirmed,Yes (MCC950 class),None,None,MCC950 pocket,Human,Phase 1 completed; program discontinued post-Roche acquisition,10.1038/s41591-018-0071-3,2018,Nature Medicine (Inflazome predecessor context),,Completed Phase 1 2020 (NCT04015076). Roche acquired Inflazome 2020; PD trial withdrawn.
Selnoflast,RO7486967; Inflazome compound,CRID3-class sulfonylurea,CRID3_MCC950_pocket,MCC950-class mechanism,Oral NLRP3 inhibitor; peripheral inflammation focus,Reversible,Phase 2 RIVULET trial,Atherosclerosis/vascular inflammation,IL-1β; vascular inflammation,Phase 2 ongoing,Yes,None,None,MCC950 pocket,Human,Phase 2 (Roche/Inflazome),,2024,,,RIVULET trial recruiting for MACE-risk atherosclerosis.
ZYIL1,Usnoflast; Nibrozetone,Sulfonylurea-derived (Zydus),CRID3_MCC950_pocket,NLRP3 NACHT (MCC950-class),CNS-penetrant oral NLRP3 inhibitor,Reversible,THP-1; human PBMC,LPS + nigericin,IL-1β,IC50=11 nM (THP-1); 4.5 nM (PBMC),Yes (inferred MCC950-class),None,None,MCC950 pocket,Human,Phase 2 (ALS UC PD planned),,2024,,,Phase 2 ALS (NCT07023835); ulcerative colitis; brain-penetrant.
NT-0796,,NodThera sulfonylurea series,CRID3_MCC950_pocket,NACHT domain (MCC950-class),CNS-penetrant; reduces systemic inflammation,Reversible,Obese inflamed subjects; PD models,Phase 1b/2a,CRP IL-1β metabolic markers,Positive Phase 1b/2a CV/metabolic data 2024,Yes,None,None,MCC950 pocket,Human,Phase 2,10.1038/s41586-024-07929-2,2024,Nature (related NodThera work),,CNS-penetrant. Phase 2 obesity/CVD/PD.
