case_id,ligand_name,ligand_chem_comp,smiles_or_note,target_A,uniprot_A,pdb_A,reso_A_A,target_B,uniprot_B,pdb_B,reso_B_A,structure_tier,design_type,activity_note,doi_or_pmid,eval_use,curation_notes
DT-A-001,compound_10_Tanaka2014,LC6,see PDB ligand LC6 (hybrid Mcl-1/Bcl-xL inhibitor),Mcl-1,Q07820,3WIY,2.15,Bcl-xL,Q07817,3WIZ,2.45,A_both_ends,linked,Mcl-1 IC50 0.088 uM / Bcl-xL IC50 0.0037 uM for optimized analog 11; compound 10 is co-crystallized dual hybrid,10.1021/jm401170c,pose_both_ends,Gold-standard same ligand on both anti-apoptotic targets; hybridization/tethering design
DT-A-002,compound_1_Lpx_dual,Q5M,4-(naphthalen-1-yl)-4-oxobutanoic acid,LpxD_Pa,Q9HXY6,6UEC,2.60,LpxA_Pa,Q9HVF4,6UEE,2.10,A_both_ends,merged,dual-binding SPR ligands; substrate-mimetic acyl pocket binders,10.1038/s41598-019-51844-z,pose_both_ends,Same chem_comp Q5M in LpxD (6UEC) and LpxA (6UEE); also see 6UEG
DT-A-003,CJJ_Pkn_dual,CJJ,5-{5-chloro-4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]pyrimidin-2-yl}thiophene-2-sulfonamide,PknB_Mtb,P0A5Z1,6B2P,3.01,PknA_Mtb,P0A5Z0,6B2Q,2.88,A_both_ends,merged,Ki approx 5 nM class dual PknA/PknB inhibitors in series,PDB primary citations 6B2P/6B2Q,pose_both_ends,Same ligand CJJ crystallized with PknB and PknA; mycobacterial STK dual inhibition
DT-A-004,TAK-285,03Q / TAK-285,EGFR/HER2 dual TKI (TAK-285),EGFR,P00533,3POZ,1.50,HER2,P04626,3RCD,3.21,A_both_ends,merged,clinical-stage dual EGFR/HER2 inhibitor,10.1074/jbc.M110.209817,pose_both_ends,EGFR 3POZ and HER2 3RCD both with TAK-285; related mutant EGFR 3W2O
DT-A-005,Q5M_alt_LpxA,Q5M,4-(naphthalen-1-yl)-4-oxobutanoic acid,LpxA_Pa,Q9HVF4,6UEG,2.00,LpxD_Pa,Q9HXY6,6UEC,2.60,A_both_ends,merged,same dual-binding chemotype as DT-A-002,10.1038/s41598-019-51844-z,pose_both_ends,Alternate LpxA complex 6UEG paired with LpxD 6UEC; keep as replicate structure pair
DT-B-001,LSH24_BET_HDAC,S7T,4-acyl pyrrole hydroxamate BET/HDAC hybrid,BRD4_BD1,O60885,7AXR,1.50,HDAC1-3/6,multiple,NA,NA,B_single_end,linked,sub-uM BET and HDAC inhibition in paper (hybrids 49/61 related),10.1021/acs.jmedchem.1c00733,pose_single_end_A,Dual BET-HDAC; only BRD4 co-crystal deposited for this chemotype in 7AXR
DT-B-002,NB161,see 8P9F ligand,merged BET/class-I HDAC dual series start,BRD4_BD1,O60885,8P9F,NA,HDAC1/2,Q13547,NA,NA,B_single_end,merged,cellular NanoBRET ~100 nM class for optimized analogs,10.1021/acschembio.3c00427,pose_single_end_A,PDB series 8P9F-8P9L; HDAC end not deposited for dual ligands
DT-B-003,NB390,see 8P9G ligand,BET/HDAC dual series,BRD4_BD1,O60885,8P9G,NA,HDAC1/2,Q13547,NA,NA,B_single_end,merged,same series as DT-B-002,10.1021/acschembio.3c00427,pose_single_end_A,BRD4-only crystal
DT-B-004,NB437,see 8P9H ligand,BET/HDAC dual series,BRD4_BD1,O60885,8P9H,NA,HDAC1/2,Q13547,NA,NA,B_single_end,merged,same series,10.1021/acschembio.3c00427,pose_single_end_A,BRD4-only crystal
DT-B-005,NB462,see 8P9I ligand,BET/HDAC dual series,BRD4_BD1,O60885,8P9I,NA,HDAC1/2,Q13547,NA,NA,B_single_end,merged,same series,10.1021/acschembio.3c00427,pose_single_end_A,BRD4-only crystal
DT-B-006,NB500,see 8P9J ligand,BET/HDAC dual series,BRD4_BD1,O60885,8P9J,NA,HDAC1/2,Q13547,NA,NA,B_single_end,merged,same series,10.1021/acschembio.3c00427,pose_single_end_A,BRD4-only crystal
