pair,metric,n_seeds,primary_seed_value,median,min,max,iqr,range
EGFR/HER2,auroc_dual_vs_A_only,5,0.6664,0.6598,0.6391,0.6692,0.0132,0.0301
EGFR/HER2,auroc_dual_vs_B_only,5,0.4297,0.3728,0.3214,0.4297,0.0284,0.1083
EGFR/HER2,summary_min,5,0.4297,0.3728,0.3214,0.4297,0.0284,0.1083
EGFR/HER2,auroc_dual_vs_neither_vina_mean,5,0.756,0.7619,0.756,0.7768,0.009,0.0208
EGFR/HER2,mean_marginal_pocket_auroc_D_vs_neither,5,0.7641,0.7693,0.7634,0.7798,0.0127,0.0164
EGFR/HER2,formulation_gap_neither_minus_summary_min,5,0.3263,0.3917,0.3263,0.4405,0.0318,0.1142
AChE/BChE,auroc_dual_vs_A_only,5,0.6504,0.5988,0.5527,0.6504,0.0372,0.0977
AChE/BChE,auroc_dual_vs_B_only,5,0.6058,0.6104,0.6058,0.6396,0.0015,0.0338
AChE/BChE,summary_min,5,0.6058,0.5988,0.5527,0.6058,0.0372,0.0531
AChE/BChE,auroc_dual_vs_neither_vina_mean,5,0.6494,0.656,0.6427,0.6564,0.0066,0.0137
AChE/BChE,mean_marginal_pocket_auroc_D_vs_neither,5,0.6494,0.6494,0.6373,0.659,0.012,0.0217
AChE/BChE,formulation_gap_neither_minus_summary_min,5,0.0436,0.0576,0.0436,0.1033,0.0238,0.0597
PIK3CA/mTOR,auroc_dual_vs_A_only,5,0.7143,0.7381,0.7143,0.746,0.0178,0.0317
PIK3CA/mTOR,auroc_dual_vs_B_only,5,0.6921,0.7037,0.6759,0.7778,0.0209,0.1019
PIK3CA/mTOR,summary_min,5,0.6921,0.7037,0.6759,0.7262,0.0209,0.0503
PIK3CA/mTOR,auroc_dual_vs_neither_vina_mean,5,0.5139,0.5278,0.4861,0.5556,0.0139,0.0695
PIK3CA/mTOR,mean_marginal_pocket_auroc_D_vs_neither,5,0.5278,0.5347,0.5278,0.5486,0.0139,0.0208
PIK3CA/mTOR,formulation_gap_neither_minus_summary_min,5,-0.1782,-0.1782,-0.1898,-0.1706,0.0093,0.0192
