compound_id,isoform,seed_a,seed_b,heavy_atom_rmsd_A,consensus_le_2A
690,JNK1,1,2,1.0063013145931734,True
690,JNK1,1,3,0.7232239958710294,True
690,JNK1,2,3,1.2402914474716928,True
690,JNK2,1,2,0.3474586124247604,True
690,JNK2,1,3,0.7233416345714346,True
690,JNK2,2,3,0.7953840671787898,True
690,JNK3,1,2,1.387604321413863,True
690,JNK3,1,3,0.7239155879455214,True
690,JNK3,2,3,1.5506474777479393,True
2157,JNK1,1,2,0.33748100228014827,True
2157,JNK1,1,3,0.3404706940409997,True
2157,JNK1,2,3,0.1379575486485847,True
2157,JNK2,1,2,2.320881999512554,False
2157,JNK2,1,3,2.234536495000146,False
2157,JNK2,2,3,0.6268296305780329,True
2157,JNK3,1,2,0.8751659714700755,True
2157,JNK3,1,3,1.563500453214198,True
2157,JNK3,2,3,1.7848629943390073,True
