compound_id,isoform,pdb,seed,vina_score,status,n_modes
690,JNK1,3ELJ,1,-8.255,ok,5
690,JNK1,3ELJ,2,-8.309,ok,5
690,JNK1,3ELJ,3,-8.251,ok,5
690,JNK2,3E7O,1,-8.286,ok,5
690,JNK2,3E7O,2,-8.479,ok,5
690,JNK2,3E7O,3,-8.272,ok,5
690,JNK3,3TTI,1,-9.093,ok,5
690,JNK3,3TTI,2,-8.622,ok,5
690,JNK3,3TTI,3,-9.089,ok,5
2231,JNK1,3ELJ,1,-8.093,ok,5
2231,JNK1,3ELJ,2,-8.005,ok,5
2231,JNK1,3ELJ,3,-8.188,ok,5
2231,JNK2,3E7O,1,-7.659,ok,5
2231,JNK2,3E7O,2,-7.664,ok,5
2231,JNK2,3E7O,3,-7.991,ok,5
2231,JNK3,3TTI,1,-8.319,ok,5
2231,JNK3,3TTI,2,-8.26,ok,5
2231,JNK3,3TTI,3,-8.237,ok,5
