analysis_id,scientific_question,status,script,direct_input_files,derived_input_files,output_files,target_pairs,score_source,label_source,bootstrap_definition,seed,n_boot,current_or_stale,notes
primary_directional_auroc,Does pocket-matched directional AUROC (D vs A-only at B; D vs B-only at A) exceed chance on eight pairs?,A current primary,scripts/freeze/recompute_current_primary.py,results/canonical/current_score_master.csv,egfr ablation vina_3POZ_hb/vina_3RCD_hb; ache ablation vina_ACHE_hb/vina_BCHE_hb; review_scored_membership for six pairs,results/canonical/primary_directional_auroc.csv; primary_summary_min.csv,all eight,current production Vina hb (higher=more favorable),theta6 except AChE strict 6.5/5.5,class-stratified two-class and shared-dual summary_min,20260729,2000,current,Independent SciPy MWU matched pairwise MW. EGFR D/B=0.3237 not 0.4297.
fixed_score_negative_class,"On the same pocket score, does dual-vs-neither exceed dual-vs-selective?",A/B current primary/supporting,scripts/freeze/recompute_current_primary.py,current_score_master.csv,,results/canonical/fixed_score_negative_class_delta.csv; formulation_equal_score_negative_v1.csv,all eight,current hb,production classes,class-stratified shared dual,20260729,2000,current,EGFR pocket-A delta 0.4621
matched_minus_mismatched,Does matched-pocket summary_min exceed mismatched-pocket summary_min?,B current supporting,scripts/freeze/recompute_current_primary.py,current_score_master.csv,,results/canonical/matched_minus_mismatched.csv; wrong_pocket_paired_delta_bootstrap_v1.csv,all eight,current hb,production,paired ligand resample shared dual; weaker-arm switching,20260729,2000,current,EGFR 0.0558 CI includes 0; AChE 0.177 CI excludes 0. Do not claim EGFR matched-pocket advantage.
top10_operating_points,Top 10% by two-pocket mean: enrichment of duals?,A current primary,scripts/freeze/recompute_current_primary.py,current_score_master.csv,,results/canonical/top10_operating_points.csv; eight_pair_ranking_operating_point_v1.csv,all eight,score_mean,production,n/a point,n/a,n/a,current,EGFR EF 0.357; PPARG 2.168
label_theta_sensitivity,Are directional results stable across theta 5.5/6.0/6.5/strict?,B current supporting,data/jcim_strengthen_t0t1_v0/scripts/build_t0_strengthen_v1.py (historical); unified_threshold_sensitivity_v2.csv,unified_threshold_sensitivity_v2.csv,,unified_threshold_sensitivity_v2.csv,"EGFR, AChE, PIK3CA/mTOR plus five-pair threshold_grid",mixed: EGFR/AChE/PM theta_6.0 patched to current,EGFR/PM re-thresholded; AChE rows are production 27/26/28 not re-assigned,theta_6.0 now class-stratified; other theta rows retain prior CIs,20260729,2000,partial,AChE unified grid is NOT a true theta reassignment. Do not describe AChE as theta-sensitive from this file.
max_vs_median,Does assay max vs median pChEMBL change class membership and AUROC?,B current supporting,data/jcim_novelty_v0/scripts/assay_aggregation_max_vs_median_v1.py; freeze/phase2_independent_audit.py overlay,assay_max_vs_median_ligand_v1.csv; current_score_master,ChEMBL API cache was not re-fetched this freeze except AB_056 panel pChEMBL,assay_max_vs_median_auroc_v1.csv; agreement_v1.csv,"EGFR, AChE, PIK3CA/mTOR",current hb,API max/median theta6 vs production frozen,class-stratified two-class B=2000,20260729,2000,current after AB_056 repair,"26 vs 25 A-only was AB_056 missing from stale table, not aggregation biology. Current AChE max=27/26/28. EGFR API-max smin=0.3136 (was 0.417 on old scores)."
cluster_bootstrap,Do scaffold/document clusters widen CIs vs ligand bootstrap?,B current supporting,scaffold_cluster_bootstrap_v1.py; document_blocked_cv_v1.py; equal_score_cluster_bootstrap_v1.py,high_confidence_labels_v1.csv (scores overlaid from master); document_blocked groups from activity audit,high_confidence_activity_audit_v1.csv,scaffold_cluster_bootstrap_v1.csv; document_cluster_bootstrap_v1.csv; equal_score_cluster_bootstrap_v1.csv,"EGFR, AChE, PIK3CA/mTOR directional; EGFR+JAK1/TYK2 equal-score delta",current,frozen_class,cluster resample B=2000 seed 20260729,20260729,2000,current scores; JAK document grouping not rebuilt,EGFR D/B cluster point 0.3237. JAK1/TYK2 document CI kept from committed table (no chembl_37 sqlite). AB_056 document group is a singleton without harvested documents.
ecfp4_incremental,Does docking add information beyond ECFP4 logistic under scaffold GroupKFold?,B current supporting,ecfp4_docking_scaler_sensitivity_v1.py; build_t0_strengthen_v1.py ligand_ml,ablation scores; track B panels; incremental_information_v1.csv,ligand structures,ligand_ml_baseline_scaffold_cv_v1.csv; incremental_information_v1.csv; five_pair ecfp4_incremental_s20s24,eight,dock rank from current formulation; ECFP4 OOF frozen pre-fix 0.7453/0.8895 EGFR,production,n/a CV,sklearn GroupKFold deterministic by group order,n/a,ECFP4 ligand-only frozen; dock ranks patched,GroupKFold: 0 scaffold overlap across folds on EGFR/AChE D/B. Scaler only in sensitivity Pipeline on train fold. Do not unfreeze 0.8895.
detectable_effect,"At current class sizes, which true AUROCs make the CI exclude 0.5? (simulation, not observed power)",B current supporting (in recomputation),data/jcim_novelty_v0/scripts/detectable_effect_simulation_v1.py,results/canonical/class_counts.csv,,detectable_effect_simulation_v1.csv; .meta.json,all eight (replacing old three-pair + PIK3CB),binormal simulation,current class sizes,class-preserving simulation bootstrap,20260729,2000,running at freeze write time,N_MC=1000. Not observed power. PIK3CA/PIK3CB dropped.
time_split,Do post-2018 ligands reproduce directional AUROC?,D SI feasibility / not external validation,time_split_validation_v1.py,high_confidence_labels_v1.csv; document_year_lookup_v1.csv,high_confidence_activity_audit,time_split_class_counts_v1.csv; time_split_auroc_v1.csv,"EGFR, AChE, PIK3CA/mTOR only",current overlay on high_confidence_labels,frozen_class,class-stratified two-class if gated,20260729,2000,current scores; three-pair protocol frozen,2018 primary cutoff: 0 evaluable pairs. Not packaged as external validation. Cutoff not moved.
