pair,pubmed_id,doi,patent_id
EGFR/HER2,12361396,10.1021/jm020873z,
EGFR/HER2,12729637,10.1016/s0960-894x(03)00238-5,
EGFR/HER2,15139749,10.1021/jm049968m,
EGFR/HER2,14561087,10.1021/jm030121k,
EGFR/HER2,9873730,10.1016/s0960-894x(98)00589-7,
EGFR/HER2,9784093,10.1021/jm980497b,
EGFR/HER2,14643325,10.1016/j.bmcl.2003.09.028,
EGFR/HER2,15012994,10.1016/j.bmcl.2003.12.023,
EGFR/HER2,10377223,10.1021/jm9805236,
EGFR/HER2,12852754,10.1021/jm030766k,
EGFR/HER2,9873604,10.1016/s0960-894x(98)00495-8,
EGFR/HER2,10999467,10.1016/s0960-894x(00)00270-5,
EGFR/HER2,12061876,10.1021/jm011098a,
EGFR/HER2,12039561,10.1016/s0960-894x(02)00238-x,
EGFR/HER2,11140741,10.1016/s0960-894x(00)00574-6,
EGFR/HER2,8831759,10.1021/jm960415o,
EGFR/HER2,12086485,10.1021/jm020057r,
EGFR/HER2,,10.1016/0960-894x(95)00189-z,
EGFR/HER2,11855979,10.1021/jm010493y,
EGFR/HER2,12672248,10.1021/jm020427b,
EGFR/HER2,10201821,10.1016/s0960-894x(99)00081-5,
EGFR/HER2,11354358,10.1016/s0960-894x(01)00163-9,
EGFR/HER2,10999468,10.1016/s0960-894x(00)00272-9,
EGFR/HER2,15341957,10.1016/j.bmcl.2004.07.024,
EGFR/HER2,15454231,10.1016/j.bmcl.2004.08.006,
EGFR/HER2,15454232,10.1016/j.bmcl.2004.08.007,
EGFR/HER2,15456253,10.1021/jm049733a,
EGFR/HER2,15990304,10.1016/j.bmcl.2005.05.107,
EGFR/HER2,15857128,10.1021/jm0492204,
EGFR/HER2,15943486,10.1021/jm049461b,
EGFR/HER2,15658855,10.1021/jm049575n,
EGFR/HER2,15837310,10.1016/j.bmcl.2005.03.007,
EGFR/HER2,15711537,10.1038/nbt1068,
EGFR/HER2,16169718,10.1016/j.bmcl.2005.08.038,
EGFR/HER2,16750367,10.1016/j.bmcl.2006.05.050,
EGFR/HER2,17181176,10.1021/jm061072p,
EGFR/HER2,17323937,10.1021/jm061097o,
EGFR/HER2,15566301,10.1021/jm0496584,
EGFR/HER2,17411025,10.1021/jm061061w,
EGFR/HER2,17618114,10.1016/j.bmcl.2007.06.068,
EGFR/HER2,17659871,10.1016/j.bmcl.2007.07.016,
EGFR/HER2,17964780,10.1016/j.bmcl.2007.10.036,
EGFR/HER2,18006306,10.1016/j.bmcl.2007.10.076,
EGFR/HER2,18325768,10.1016/j.bmcl.2008.02.033,
EGFR/HER2,18346893,10.1016/j.bmcl.2008.02.068,
EGFR/HER2,18077363,10.1073/pnas.0708800104,
EGFR/HER2,18373337,10.1021/jm701343f,
EGFR/HER2,19301816,10.1021/jm801467h,
EGFR/HER2,17485504,10.1128/aac.01184-06,
EGFR/HER2,18578517,10.1021/jm701529q,
EGFR/HER2,18926711,10.1016/j.bmc.2008.09.059,
EGFR/HER2,19253982,10.1021/jm801291f,
EGFR/HER2,17923491,10.1128/aac.00680-07,
EGFR/HER2,19596194,10.1016/j.bmcl.2009.06.094,
EGFR/HER2,18183025,10.1038/nbt1358,
EGFR/HER2,17850214,10.1042/bj20070797,
EGFR/HER2,20078117,10.1021/jm901392x,
EGFR/HER2,19822424,10.1016/j.bmcl.2009.09.094,
EGFR/HER2,19591487,10.1021/jm9005127,
EGFR/HER2,20188577,10.1016/j.bmc.2010.01.070,
EGFR/HER2,19751974,10.1016/j.bmcl.2009.08.082,
EGFR/HER2,20000735,10.1021/jm901443h,
EGFR/HER2,20481631,10.1021/jm100161q,
EGFR/HER2,20663667,10.1016/j.bmcl.2010.06.102,
EGFR/HER2,18157122,10.1038/nchembio.2007.59,
EGFR/HER2,16680159,10.1038/nchembio790,
EGFR/HER2,10998351,10.1042/0264-6021:3510095,
EGFR/HER2,20471255,10.1016/j.bmcl.2010.04.097,
EGFR/HER2,20932756,10.1016/j.bmcl.2010.09.001,
EGFR/HER2,20936874,10.1021/jm100729b,
EGFR/HER2,,,
EGFR/HER2,21345685,10.1016/j.bmc.2011.01.059,
EGFR/HER2,21449619,10.1021/jm101623p,
EGFR/HER2,21429632,10.1016/j.ejmech.2011.02.057,
EGFR/HER2,21696951,10.1016/j.bmcl.2011.05.114,
EGFR/HER2,22037378,10.1038/nbt.1990,
EGFR/HER2,21945458,10.1016/j.bmc.2011.08.067,
EGFR/HER2,22071304,10.1016/j.bmcl.2011.09.129,
EGFR/HER2,24900264,10.1021/ml2001455,
EGFR/HER2,22647219,10.1016/j.ejmech.2012.05.006,
EGFR/HER2,22621841,10.1016/j.ejmech.2012.04.035,
EGFR/HER2,22676210,10.1021/jm300327h,
EGFR/HER2,22897496,10.1021/jm300951u,
EGFR/HER2,23398362,10.1042/bj20121418,
EGFR/HER2,23270382,10.1021/jm301539x,
EGFR/HER2,23411072,10.1016/j.bmcl.2013.01.072,
EGFR/HER2,23200246,10.1016/j.bmcl.2012.10.129,
EGFR/HER2,23395633,10.1016/j.bmcl.2013.01.032,
EGFR/HER2,23484668,10.1021/np300490v,
EGFR/HER2,22770610,10.1016/j.ejmech.2012.06.007,
EGFR/HER2,23758110,10.1021/np400175b,
EGFR/HER2,23602399,10.1016/j.bmcl.2013.03.103,
EGFR/HER2,23811089,10.1016/j.ejmech.2013.05.020,
EGFR/HER2,23791078,10.1016/j.bmcl.2013.05.058,
EGFR/HER2,24047259,10.1021/np400492a,
EGFR/HER2,24016057,10.1021/np400565e,
EGFR/HER2,,10.1007/s00044-013-0801-3,
EGFR/HER2,24131218,10.1021/jm401276h,
EGFR/HER2,24508134,10.1016/j.bmcl.2014.01.034,
