document_chembl_id,audit_tier,source_type,title,journal,year,pubmed_id,doi,patent_id,publication_types,direct_url,chembl_url,pairs,ligands,targets,assay_chembl_ids,n_activity_rows,review_trigger
CHEMBL1125266,mandatory_first_pass,article_unclassified,Tyrphostins. 2. Heterocyclic and alpha-substituted benzylidenemalononitrile tyrphostins as potent inhibitors of EGF receptor and ErbB2/neu tyrosine kinases.,Journal of medicinal chemistry,1991,1676428,10.1021/jm00110a022,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm00110a022,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1125266,EGFR/HER2,EH120_067;EH120_070;EH120_076,EGFR;HER2,CHEMBL673948;CHEMBL676152;CHEMBL700784;CHEMBL701406;CHEMBL763200,12,always_review_now
CHEMBL1126897,mandatory_first_pass,article_unclassified,Tyrphostins. 3. Structure-activity relationship studies of alpha-substituted benzylidenemalononitrile 5-S-aryltyrphostins.,Journal of medicinal chemistry,1993,7902440,10.1021/jm00075a010,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm00075a010,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1126897,EGFR/HER2,EH120_094,EGFR,CHEMBL677392;CHEMBL677393;CHEMBL689290,3,always_review_now
CHEMBL1128536,conditional_follow_up,article_unclassified,Tyrosine kinase inhibitors. 5. Synthesis and structure-activity relationships for 4-[(phenylmethyl)amino]- and 4-(phenylamino)quinazolines as potent adenosine 5'-triphosphate binding site inhibitors of the tyrosine kinase domain of the epidermal growth factor receptor.,Journal of medicinal chemistry,1995,7658435,10.1021/jm00018a008,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm00018a008,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1128536,EGFR/HER2,EH120_054;EH40_25,EGFR,CHEMBL677204,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1129072,conditional_follow_up,article_unclassified,"4-(Phenylamino)pyrrolopyrimidines: potent and selective, ATP site directed inhibitors of the EGF-receptor protein tyrosine kinase.",Journal of medicinal chemistry,1996,8691423,10.1021/jm960118j,,Comparative Study;Journal Article,https://doi.org/10.1021/jm960118j,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1129072,EGFR/HER2,EH120_054,EGFR,CHEMBL677880,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1129291,mandatory_first_pass,article_unclassified,"Tyrosine kinase inhibitors. 8. An unusually steep structure-activity relationship for analogues of 4-(3-bromoanilino)-6,7-dimethoxyquinazoline (PD 153035), a potent inhibitor of the epidermal growth factor receptor.",Journal of medicinal chemistry,1996,8568816,10.1021/jm9503613,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm9503613,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1129291,EGFR/HER2,EH120_054,EGFR,CHEMBL680017,1,always_review_now
CHEMBL1129564,conditional_follow_up,article_unclassified,Tyrosine kinase inhibitors. 10. Isomeric 4-[(3-bromophenyl)amino]pyrido[d]-pyrimidines are potent ATP binding site inhibitors of the tyrosine kinase function of the epidermal growth factor receptor.,Journal of medicinal chemistry,1996,8627606,10.1021/jm9508651,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm9508651,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1129564,EGFR/HER2,EH120_057,EGFR,CHEMBL677215,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1130217,conditional_follow_up,article_unclassified,"Use of a pharmacophore model for the design of EGF-R tyrosine kinase inhibitors: 4-(phenylamino)pyrazolo[3,4-d]pyrimidines.",Journal of medicinal chemistry,1997,9357527,10.1021/jm970124v,,Journal Article,https://doi.org/10.1021/jm970124v,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1130217,EGFR/HER2,EH120_054,EGFR,CHEMBL621022;CHEMBL677832,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1131301,mandatory_first_pass,article_unclassified,"Tyrosine kinase inhibitors. 14. Structure-activity relationships for methylamino-substituted derivatives of 4-[(3-bromophenyl)amino]-6-(methylamino)-pyrido[3,4-d]pyrimidine (PD 158780), a potent and specific inhibitor of the tyrosine kinase activity of receptors for the EGF family of growth factors.",Journal of medicinal chemistry,1998,9513602,10.1021/jm970641d,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm970641d,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1131301,EGFR/HER2,EH120_057,EGFR;HER2,CHEMBL621852;CHEMBL621853;CHEMBL713290,3,always_review_now
CHEMBL1132213,mandatory_first_pass,article_unclassified,Tyrosine kinase inhibitors. 15. 4-(Phenylamino)quinazoline and 4-(phenylamino)pyrido[d]pyrimidine acrylamides as irreversible inhibitors of the ATP binding site of the epidermal growth factor receptor.,Journal of medicinal chemistry,1999,10346932,10.1021/jm9806603,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm9806603,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1132213,EGFR/HER2,EH120_051,EGFR;HER2,CHEMBL673949;CHEMBL674017;CHEMBL674018,3,always_review_now
CHEMBL1132637,conditional_follow_up,article_unclassified,"Design and synthesis of potent, selective, and orally bioavailable tetrasubstituted imidazole inhibitors of p38 mitogen-activated protein kinase.",Journal of medicinal chemistry,1999,10377223,10.1021/jm9805236,,Journal Article,https://doi.org/10.1021/jm9805236,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1132637,EGFR/HER2,EH120_077,EGFR,CHEMBL672267,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1133502,conditional_follow_up,article_unclassified,"Thio- and oxoflavopiridols, cyclin-dependent kinase 1-selective inhibitors: synthesis and biological effects.",Journal of medicinal chemistry,2000,11063609,10.1021/jm000231g,,Journal Article,https://doi.org/10.1021/jm000231g,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1133502,EGFR/HER2,EH40_27,EGFR,CHEMBL873605,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1134270,conditional_follow_up,article_unclassified,Optimization of 4-phenylamino-3-quinolinecarbonitriles as potent inhibitors of Src kinase activity.,Journal of medicinal chemistry,2001,11689083,10.1021/jm0102250,,Journal Article,https://doi.org/10.1021/jm0102250,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134270,EGFR/HER2,EH120_066,HER2,CHEMBL674539,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1134331,conditional_follow_up,review_article,New dermatological agents for the treatment of psoriasis.,Journal of medicinal chemistry,2001,11462969,10.1021/jm0000214,,Journal Article;Review,https://doi.org/10.1021/jm0000214,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134331,EGFR/HER2,EH120_067,EGFR,CHEMBL688553,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1134561,mandatory_first_pass,article_unclassified,6-Substituted-4-(3-bromophenylamino)quinazolines as putative irreversible inhibitors of the epidermal growth factor receptor (EGFR) and human epidermal growth factor receptor (HER-2) tyrosine kinases with enhanced antitumor activity.,Journal of medicinal chemistry,2001,11495584,10.1021/jm0005555,,Journal Article,https://doi.org/10.1021/jm0005555,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134561,EGFR/HER2,EH120_055;EH40_17;EH40_21,EGFR;HER2,CHEMBL676070;CHEMBL680018,6,always_review_now
