document_chembl_id,pubmed_id,doi,patent_id,year
CHEMBL1125266,1676428,10.1021/jm00110a022,,1991
CHEMBL1126897,7902440,10.1021/jm00075a010,,1993
CHEMBL1128536,7658435,10.1021/jm00018a008,,1995
CHEMBL1129035,8632415,10.1021/jm950692f,,1996
CHEMBL1129072,8691423,10.1021/jm960118j,,1996
CHEMBL1129291,8568816,10.1021/jm9503613,,1996
CHEMBL1129564,8627606,10.1021/jm9508651,,1996
CHEMBL1130030,9154973,10.1021/jm960789h,,1997
CHEMBL1130057,9191958,10.1021/jm960879m,,1997
CHEMBL1130217,9357527,10.1021/jm970124v,,1997
CHEMBL1130392,9288171,10.1021/jm970210v,,1997
CHEMBL1130562,,10.1016/s0960-894x(96)00601-4,,1997
CHEMBL1131001,9632370,10.1021/jm9800494,,1998
CHEMBL1131301,9513602,10.1021/jm970641d,,1998
CHEMBL1132213,10346932,10.1021/jm9806603,,1999
CHEMBL1132364,10464027,10.1021/jm990199u,,1999
CHEMBL1132555,10639288,10.1021/jm9903949,,1999
CHEMBL1132590,10052979,10.1021/jm981101z,,1999
CHEMBL1132637,10377223,10.1021/jm9805236,,1999
CHEMBL1133502,11063609,10.1021/jm000231g,,2000
CHEMBL1134270,11689083,10.1021/jm0102250,,2001
CHEMBL1134331,11462969,10.1021/jm0000214,,2001
CHEMBL1134561,11495584,10.1021/jm0005555,,2001
CHEMBL1134674,11689067,10.1021/jm010914b,,2001
CHEMBL1134843,11462982,10.1021/jm000372i,,2001
CHEMBL1134862,12127526,10.1016/s0960-894x(02)00364-5,,2002
CHEMBL1135324,12182861,10.1016/s0960-894x(02)00482-1,,2002
CHEMBL1135547,12166941,10.1021/jm010491d,,2002
CHEMBL1135689,12477352,10.1021/jm020899q,,2002
CHEMBL1135763,12190313,10.1021/jm0201520,,2002
CHEMBL1135889,11881999,10.1021/jm011022e,,2002
CHEMBL1136484,14643329,10.1016/j.bmcl.2003.09.034,,2003
CHEMBL1136802,14561085,10.1021/jm030065n,,2003
CHEMBL1137325,17154492,10.1021/jm0608762,,2006
CHEMBL1137550,17902635,10.1021/jm070536w,,2007
CHEMBL1137822,15537349,10.1021/jm049782n,,2004
CHEMBL1138000,15454232,10.1016/j.bmcl.2004.08.007,,2004
CHEMBL1138126,16480284,10.1021/jm050936o,,2006
CHEMBL1138205,17149883,10.1021/jm060742o,,2006
CHEMBL1139130,17270437,10.1016/j.bmcl.2007.01.002,,2007
CHEMBL1139297,19028424,10.1016/j.bmcl.2008.11.023,,2009
CHEMBL1139709,16945529,10.1016/j.bmcl.2006.08.067,,2006
CHEMBL1140078,18754654,10.1021/jm800295d,,2008
CHEMBL1140398,16111887,10.1016/j.bmcl.2005.07.027,,2005
CHEMBL1140495,17869514,10.1016/j.bmcl.2007.08.073,,2007
CHEMBL1140899,19170633,10.1021/jm800829v,,2009
CHEMBL1141048,16055332,10.1016/j.bmcl.2005.06.068,,2005
CHEMBL1141279,17822295,10.1021/np0702077,,2007
CHEMBL1141467,18181565,10.1021/jm7009364,,2008
CHEMBL1141539,18313293,10.1016/j.bmcl.2008.02.035,,2008
CHEMBL1141561,18061446,10.1016/j.bmcl.2007.11.052,,2008
CHEMBL1141589,18232655,10.1021/jm701491k,,2008
CHEMBL1142630,10869205,10.1021/np9905719,,2000
CHEMBL1142663,15715478,10.1021/jm040159c,,2005
CHEMBL1142685,15715468,10.1021/jm049309+,,2005
CHEMBL1143160,18182285,10.1016/j.bmcl.2007.12.035,,2008
CHEMBL1143164,18269228,10.1021/jm7012858,,2008
CHEMBL1143196,18271520,10.1021/jm070654j,,2008
CHEMBL1144455,15711537,10.1038/nbt1068,,2005
CHEMBL1144481,17008100,10.1016/j.bmc.2006.09.026,,2007
CHEMBL1145020,12502359,10.1021/jm020241c,,2003
CHEMBL1145498,18077363,10.1073/pnas.0708800104,,2007
CHEMBL1145585,18508264,10.1016/j.bmcl.2008.05.024,,2008
CHEMBL1145898,14584959,10.1021/jm0309194,,2003
CHEMBL1146079,16570913,10.1021/jm050578p,,2006
CHEMBL1146616,12824041,10.1016/s0960-894x(03)00397-4,,2003
CHEMBL1146682,14684309,10.1016/j.bmcl.2003.10.010,,2004
CHEMBL1146949,16483771,10.1016/j.bmcl.2006.01.067,,2006
CHEMBL1147004,16483772,10.1016/j.bmcl.2006.01.111,,2006
CHEMBL1147456,15177440,10.1016/j.bmcl.2004.04.080,,2004
CHEMBL1147619,15006373,10.1016/j.bmcl.2004.01.034,,2004
CHEMBL1147965,17416531,10.1016/j.bmc.2007.03.055,,2007
CHEMBL1148382,14711311,10.1021/jm031004s,,2004
CHEMBL1148814,17850125,10.1021/jm070559a,,2007
CHEMBL1149251,15566295,10.1021/jm049655r,,2004
CHEMBL1149275,15588084,10.1021/jm0494366,,2004
CHEMBL1149340,16777410,10.1016/j.bmcl.2006.05.090,,2006
CHEMBL1149823,18077425,10.1073/pnas.0707498104,,2007
CHEMBL1149880,18336006,10.1021/np070690l,,2008
CHEMBL1150213,1479375,10.1021/np50089a001,,1992
CHEMBL1150277,18419109,10.1021/jm8002747,,2008
CHEMBL1150356,18467105,10.1016/j.bmc.2008.04.019,,2008
CHEMBL1150386,18479118,10.1021/jm701253t,,2008
CHEMBL1150417,18500794,10.1021/jm7013875,,2008
CHEMBL1150531,,10.1016/0960-894x(96)00102-3,,1996
CHEMBL1150650,12398535,10.1021/np020169l,,2002
CHEMBL1150773,18517184,10.1021/jm8001313,,2008
CHEMBL1150977,18183025,10.1038/nbt1358,,2008
CHEMBL1152084,,10.1016/s0960-894x(97)10117-2,,1997
CHEMBL1152287,18954037,10.1021/jm8009684,,2008
CHEMBL1152325,19215141,10.1021/np800671p,,2009
CHEMBL1152608,19748785,10.1016/j.bmc.2009.08.044,,2009
CHEMBL1152829,18313807,10.1016/j.ejmech.2008.01.009,,2009
CHEMBL1153098,19897362,10.1016/j.bmcl.2009.10.075,,2010
CHEMBL1153200,19963384,10.1016/j.bmcl.2009.11.050,,2010
CHEMBL1153281,19208477,10.1016/j.bmcl.2009.01.080,,2009
CHEMBL1154130,19007183,10.1021/np800318m,,2008
CHEMBL1154286,19762236,10.1016/j.bmcl.2009.08.038,,2009
CHEMBL1154343,19815412,10.1016/j.bmcl.2009.09.038,,2009
CHEMBL1154602,19813747,10.1021/jm901123n,,2009
CHEMBL1154681,19879672,10.1016/j.ejmech.2009.09.041,,2010
CHEMBL1154692,19888761,10.1021/jm901146p,,2009
CHEMBL1154707,19916508,10.1021/jm901415x,,2009
CHEMBL1154879,20050669,10.1021/jm901284w,,2010
CHEMBL1155111,18588282,10.1021/jm701575k,,2008
CHEMBL1155389,20166671,10.1021/jm901132v,,2010
CHEMBL1155458,20575555,10.1021/jm901902w,,2010
CHEMBL1155863,18625552,10.1016/j.bmcl.2008.06.076,,2008
CHEMBL1155941,18650096,10.1016/j.bmc.2008.07.009,,2008
CHEMBL1156112,19827831,10.1021/jm901108b,,2009
