ligand,pair,frozen_class,frozen_pA,frozen_pB,document_chembl_id,citation,source_read,key_finding,reported_max_acceptable,conditional_class_theta6,remaining_gap
EH120_045,EGFR/HER2,dual,9.30,9.12,CHEMBL3886356,US 9,181,263 B2,local_patent_pdf,Table 1 Compound 1 EGFR IC50 0.5 nM (header misspelled EFGR); HotSpot purified enzyme 1 uM ATP 1 h; HER2 same table 9.4 nM is not the frozen HER2 max,yes,dual,R/S not printed on Compound 1; EGFR construct residue range not printed
EH120_045,EGFR/HER2,dual,9.30,9.12,CHEMBL5131445,Ma 2022 BMCL,bindingdb_article_dump,Ibrutinib BDBM50357312 ERBB2 Kd 0.75 nM by KINOMEscan; EGFR Kd 3.90 nM; the 76 nM page was a different ligand (BDBM250082),yes,dual,publisher SI still needed for kinase-domain vs full-length wording
PM48_04,PIK3CA/mTOR,dual,8.85,9.35,CHEMBL5500428,Hong 2024 JMC PMC11284801,pmc_html,Dactolisib PI3K-alpha 1.4 nM and mTOR 4.3 nM are cited in the introduction not measured; Hong measured 53/78/peposertib/AZD7648,no_citation_not_measured,dual,optional Maira 2008 PDF for the cited 1.4 nM
PM48_04,PIK3CA/mTOR,dual,8.85,9.35,CHEMBL5620391,Yang 2023 EJMECH,bindingdb_article_dump,BEZ235 mTOR IC50 0.450 nM on N-terminal FLAG human mTOR residues 1362-end ULight-4E-BP1; same paper PI3K-alpha 19 nM is not the frozen 8.85,yes_construct_truncated,dual,ATP n SD truncated in BindingDB blurb
PM48_05,PIK3CA/mTOR,dual,10.00,8.52,CHEMBL5214883,Bass 2021 EJMECH review,bindingdb_article_dump,Pictilisib PI3K-alpha IC50 0.100 nM deposited from a review; Folkes original is 3 nM; Bass delta 4 nM and beta 31 nM approximately match Folkes,no_review_transcription,dual,publisher table locator
PM48_05,PIK3CA/mTOR,dual,10.00,8.52,CHEMBL4373732,Elmenier 2019 EJMECH review,bindingdb_article_dump,Confirmed column shift vs Folkes: Elmenier mTOR 3 nM is Folkes PI3K-alpha; Elmenier gamma 580 nM is Folkes mTOR,no_review_column_shift,dual,publisher table locator
PM48_05,PIK3CA/mTOR,dual,10.00,8.52,CHEMBL1140078,Folkes 2008 JMC,bindingdb_article_dump_plus_workman_2011_oa,GDC-0941 PI3K-alpha IC50 3 nM (WT and H1047R and E545K); PI3K-beta 33; PI3K-delta 3; PI3K-gamma 75; mTOR Ki 580 nM GFP-4EBP HTRF pH 7.5 T 2C,yes_original_pair,dual_barely,publisher body/SI for compound 17 table locator
AB_089,AChE/BChE,neither,4.78,5.12,CHEMBL4680246,Sang 2020 EJMECH,bindingdb_article_dump,Human serum BuChE 7600 nM matches frozen pB; equine BuChE 1300 nM is the other column; Ellman 15 min; ChEMBL BChE species=horse is metadata error,yes_neither,neither,AChE Table 1 mapping not in this BindingDB dump
AB_091,AChE/BChE,neither,4.76,5.19,CHEMBL4680246,Sang 2020 EJMECH,bindingdb_article_dump,Human serum BuChE 6500 nM matches frozen pB; equine 3900 nM,yes_neither,neither,AChE Table 1 mapping not in this BindingDB dump
AB_094,AChE/BChE,neither,4.71,5.29,CHEMBL4680246,Sang 2020 EJMECH,bindingdb_article_dump,Human serum BuChE 5100 nM matches frozen pB; equine 2800 nM,yes_neither,neither,AChE Table 1 mapping not in this BindingDB dump
PM48_22,PIK3CA/mTOR,A_only,8.77,5.83,CHEMBL4765307,Cheng 2021 JMC,chembl_metadata_only,Frozen 5.83 is assay type A cellular MCF7 TSC1-null p70S6K ELISA; BindingDB Cheng dump has no alpelisib/p70S6K row; backup biochemical mTOR pB 5.52,incomparable_cellular,A_only,publisher SI to confirm ELISA
PM48_22,PIK3CA/mTOR,A_only,8.77,5.83,CHEMBL5579880,Shi 2024 JMC,bindingdb_article_dump,Alpelisib CHEMBL2396661 PI3K-alpha IC50 1.70 nM ADP-Glo 60 min ATP; construct unknown origin,yes,A_only,publisher SI for p110-alpha/p85-alpha vs catalytic only
