protocol_id,engine,score_readout,compound,pdb,exhaustiveness,num_modes,top1_score,score_direction,top1_rmsd_A,best_ensemble_rmsd_A,rtmscore_selected_rmsd_A,sampling_ok_le2,scoring_ok_top1_le2,notes,date,operator
P1,vina,vina_affinity,lesinurad,9DKB,8,9,,,,,,,,,
P2,gnina,CNNaffinity,lesinurad,9DKB,8,9,,,,,,,,,
P3,gnina,gnina_affinity,lesinurad,9DKB,8,9,,,,,,,,,
P0,gnina,CNNscore,lesinurad,9DKB,8,9,,,,,,,,,
P4,vina,RTMScore,lesinurad,9DKB,8,9,,,,,,,,,
P5,gnina,RTMScore,lesinurad,9DKB,8,9,,,,,,,,,
P1,vina,vina_affinity,lesinurad,9DKB,32,9,,,,,,,,,
P2,gnina,CNNaffinity,lesinurad,9DKB,32,9,,,,,,,,,
P3,gnina,gnina_affinity,lesinurad,9DKB,32,9,,,,,,,,,
P0,gnina,CNNscore,lesinurad,9DKB,32,9,,,,,,,,,
P4,vina,RTMScore,lesinurad,9DKB,32,9,,,,,,,,,
P5,gnina,RTMScore,lesinurad,9DKB,32,9,,,,,,,,,
